geneId	cluster
Mp1g23630	C3
Mp1g23660	C3
Mp1g23800	C5
Mp1g23860	C1
Mp1g23910	C3
Mp1g23970	C6
Mp1g24100	C3
Mp1g24270	C3
Mp1g24300	C3
Mp1g24370	C2
Mp1g24380	C3
Mp1g24390	C3
Mp1g24400	C10
Mp1g24470	C6
Mp1g24540	C2
Mp1g24710	C3
Mp1g24710	C14
Mp1g24810	C3
Mp1g24990	C3
Mp1g25010	C3
Mp1g25110	C3
Mp1g25140	C6
Mp1g25150	C6
Mp1g25275a	C8
Mp1g25330	C2
Mp1g25360	C2
Mp1g25360	C3
Mp1g25360	C10
Mp1g25410	C2
Mp1g25420	C10
Mp1g25590	C6
Mp1g25650	C3
Mp1g25760	C3
Mp1g25840	C1
Mp1g25850	C1
Mp1g25900	C1
Mp1g25910	C7
Mp1g25940	C1
Mp1g26000	C3
Mp1g26020	C6
Mp1g26080	C1
Mp1g26180	C14
Mp1g26180	C6
Mp1g26210	C6
Mp1g26320	C1
Mp1g26320	C3
Mp1g26350	C3
Mp1g26390	C4
Mp1g26420	C1
Mp1g26430	C4
Mp1g26515a	C3
Mp1g26570	C3
Mp1g26590	C2
Mp1g26610	C2
Mp1g26630	C2
Mp1g26680	C1
Mp1g26690	C3
Mp1g26770	C6
Mp1g27000	C6
Mp1g27060	C1
Mp1g27150	C3
Mp1g27150	C1
Mp1g27310	C14
Mp1g27410	C3
Mp1g27470	C6
Mp1g27480	C6
Mp1g27510	C3
Mp1g27640	C3
Mp1g27650	C10
Mp1g27660	C3
Mp1g27720	C7
Mp1g27770	C3
Mp1g27770	C2
Mp1g27820	C6
Mp1g27860	C6
Mp1g27880	C2
Mp1g27870	C3
Mp1g27920	C10
Mp1g28060	C10
Mp1g28085a	C9
Mp1g28090	C2
Mp1g28095b	C3
Mp1g28120	C2
Mp1g28130	C3
Mp1g28220	C1
Mp1g28310	C3
Mp1g28420	C7
Mp1g28440	C6
Mp1g28500	C10
Mp1g28670	C3
Mp1g28690	C6
Mp1g28710	C6
Mp1g28720	C3
Mp1g28900	C3
Mp1g28920	C15
Mp1g28930	C3
Mp1g28990	C1
Mp1g29100	C4
Mp1g29160	C6
Mp1g29290	C5
Mp1g29410	C3
Mp1g29540	C1
Mp1g29560	C6
Mp1g29670	C10
Mp1g29710	C1
Mp1g29760	C3
Mp1g29770	C3
Mp1g29800	C3
Mp1g29830	C11
Mp2g00015a	C7
Mp2g00170	C6
Mp2g00200	C3
Mp2g00320	C4
Mp2g00350	C1
Mp2g00360	C3
Mp2g00430	C3
Mp2g00500	C7
Mp2g00530	C2
Mp2g00590	C1
Mp2g00600	C6
Mp2g00630	C10
Mp2g00660	C10
Mp2g00680	C6
Mp2g00710	C6
Mp2g00790	C3
Mp2g00840	C3
Mp2g00860	C8
Mp2g00890	C6
Mp2g00960	C6
Mp2g00970	C3
Mp2g01010	C3
Mp2g01080	C2
Mp2g01200	C2
Mp2g01410	C10
Mp2g01470	C9
Mp2g01630	C3
Mp2g01700	C4
Mp2g01720	C4
Mp2g01740	C4
Mp2g01940	C3
Mp2g01970	C6
Mp2g02040	C3
Mp2g02040	C6
Mp2g02110	C3
Mp2g02120	C6
Mp2g02160	C5
Mp2g02240	C2
Mp2g02240	C3
