TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C2_C3H_3	C6_C2H2_85	1	1	10	0.3162277660168379	inf
C2_MYB_50	C2_Trihelix_48	1	1	10	0.3162277660168379	inf
C2_Trihelix_48	C5_AP2EREBP_67	1	10	1	0.3162277660168379	inf
C10_HMG_4-C5_HMG_5-C6_HMG_5	C11_MYB_2-C2_MYB_18	3	7	13	0.3144854510165755	6.5107750612085
C2_MYB_39-C3_MYB_20-C5_MYB_47-C6_MYB_41-C9_MYB_15	C6_Trihelix_27	9	41	20	0.3142936330963102	10.858420952155562
C2_ABI3VP1_7-C4_ABI3VP1_5	C2_G2like_1-C4_G2like_2-C5_G2like_2-C6_G2like_1-C9_G2like_1	10	34	30	0.31311214554257477	7.825743928933347
C2_ABI3VP1_7-C4_ABI3VP1_5	C2_LOBAS2_23	6	34	11	0.3102526139970115	7.511233071597949
C13_AP2EREBP_26-C2_AP2EREBP_62-C4_AP2EREBP_53-C5_AP2EREBP_68-C6_AP2EREBP_80	C6_C2H2_85	5	26	10	0.31008683647302115	6.91835503307227
C2_C2C2YABBY_23-C9_C2C2YABBY_17	C2_Trihelix_48	5	26	10	0.31008683647302115	12.545958871718021
C6_AP2EREBP_227	C9_LOBAS2_17	10	29	36	0.30949223029508643	7.603783153679173
C1_MYBrelated_7-C10_MYBrelated_5-C4_MYBrelated_6-C5_MYBrelated_14-C6_MYBrelated_7	C5_C2C2COlike_5	2	3	14	0.30860669992418377	10.00208311636464
C2_AP2EREBP_57	C4_NAC_9-C5_NAC_6-C9_NAC_9	4	7	24	0.30860669992418377	6.236623315807621
C10_HMG_4-C5_HMG_5-C6_HMG_5	C13_RAV_1-C2_RAV_2-C4_RAV_2	5	7	38	0.30656966974248295	9.081859733086263
C2_G2like_1-C4_G2like_2-C5_G2like_2-C6_G2like_1-C9_G2like_1	C6_AP2EREBP_227	9	30	29	0.30512857662936466	7.665193596924885
C5_HSF_5-C6_HSF_5-C9_HSF_2	C6_AP2EREBP_227	8	24	29	0.30323921743156135	8.402714052511598
C13_AP2EREBP_26-C2_AP2EREBP_62-C4_AP2EREBP_53-C5_AP2EREBP_68-C6_AP2EREBP_80	C2_ABI3VP1_7-C4_ABI3VP1_5	9	26	34	0.3027027572983406	6.89830214169853
C2_C3H_3	C2_LOBAS2_23	1	1	11	0.30151134457776363	7.0000000000000036
C2_Trihelix_48	C6_C2C2COlike_11	3	10	10	0.3	7.746735103377731
C2_Trihelix_48	C9_BES1_3	3	10	10	0.3	6.510775061208502
C6_C2C2COlike_11	C6_C2H2_85	3	10	10	0.3	9.666666666666673
C6_C2H2_85	C9_BES1_3	3	10	10	0.3	5.683717723468404
C10_HMG_4-C5_HMG_5-C6_HMG_5	C3_BES1_2	4	7	26	0.29649972666444047	6.559714227484963
C13_AP2EREBP_26-C2_AP2EREBP_62-C4_AP2EREBP_53-C5_AP2EREBP_68-C6_AP2EREBP_80	C9_WRKY_7	4	26	7	0.29649972666444047	7.756717518813401
C2_C2C2YABBY_23-C9_C2C2YABBY_17	C9_WRKY_7	4	26	7	0.29649972666444047	7.758067257580959
C2_C2C2YABBY_23-C9_C2C2YABBY_17	C2_LOBAS2_23	5	26	11	0.29565619799454135	7.595450551936253
C2_MYB_38-C5_MYB_46-C6_MYB_40	C5_HSF_5-C6_HSF_5-C9_HSF_2	5	12	24	0.2946278254943948	8.578856228749169
C2_Trihelix_48	C6_AP2EREBP_227	5	10	29	0.29361010975735174	10.80626983632501
C2_MYB_39-C3_MYB_20-C5_MYB_47-C6_MYB_41-C9_MYB_15	C6_AP2EREBP_227	10	41	29	0.29000739528287084	6.8247092813884604
C10_AP2EREBP_113-C2_AP2EREBP_112-C3_AP2EREBP_96	C5_HSF_5-C6_HSF_5-C9_HSF_2	2	2	24	0.28867513459481287	10.002083116364641
