geneId	HS_ATAC	genotype	HS_RNA
Mp4g21690	0.378203342032417	dko	-0.0817477833416791
Mp2g18140	0	dko	-0.766165547352868
Mp1g17210	0.190605046394283	dko	-1.53931936237956
Mp2g22820	0.0166442371354007	dko	0.529029382858774
Mp5g08310	-0.495220678258267	dko	-0.634899582436561
Mp5g09040	-0.169424671286874	dko	0.64984805640015
Mp5g21950	-0.441917696106734	dko	-0.060445931397797
Mp1g23200	0.141781692593301	dko	0.0714991978954195
Mp2g10330	0.284467776405521	dko	-0.380080007304219
Mp4g17810	-0.0875463501451192	dko	0.166102324843696
Mp1g27640	-1.18726268108224	dko	-0.585593202918515
Mp3g23440	-0.233226106834648	dko	-0.511456105444121
Mp4g09300	-0.941567102086676	dko	0.370184350436133
Mp7g06280	0	dko	-1.32242269620579
Mp3g03400	0.0973122958942496	dko	-0.494729494837564
Mp3g03420	-0.615421369683411	dko	-1.01401485503619
Mp3g18220	0.355035501908888	dko	0
Mp7g06480	-0.555155172538606	dko	0
Mp7g06550	0.14612073681646	dko	-0.924552499665301
Mp1g27920	-0.304808771184442	dko	-0.537951911459745
Mp4g19590	0.0832287742451435	dko	0.146774727649164
Mp6g12730	-0.177287547925318	dko	0.695372438808392
Mp6g02620	-0.127296768579354	dko	-0.376751357148518
Mp8g07630	0.335237557278508	dko	-0.93091582444914
Mp2g20430	-0.214467782015731	dko	3.60520419993467
Mp3g09970	-0.310755552577968	dko	0.30700848872043
Mp5g19490	0.215091149500463	dko	-0.151915457994459
Mp5g22160	0.300646036223038	dko	-4.0327756501896
Mp4g00200	-0.138581834387215	dko	-0.766563587516637
Mp3g20700	0.208545348954062	dko	-0.122165243308574
Mp6g17310	-0.169918015566221	dko	1.18201762044341
Mp1g05180	-0.719204638212756	dko	-0.595896300732911
Mp5g21250	-0.0389507656238633	dko	0.143052916224259
Mp7g17200	-0.450136272696403	dko	-0.113078679010455
Mp4g00180	-0.0616376442389508	dko	-0.280098857763362
Mp2g12370	-0.450234103949831	dko	0.131228277551188
Mp3g11900	-0.138985349082238	dko	1.06992522314171
Mp1g03580	-0.404697659830432	dko	-0.539886888796892
Mp6g07560	-0.0654430538778232	dko	1.62755825322729
Mp2g25940	-0.0223563258489597	dko	0.22467719916151
Mp4g18220	-0.30348500008198	dko	-0.996126700041445
Mp4g21300	-0.268082050949557	dko	-0.513545312542897
