gene	group
Mp4g12230	U_HS T
Mp4g12820	U_HS T
Mp4g12890	U_HS T
Mp4g13330	U_HS T
Mp4g13340	U_HS T
Mp4g13980	U_HS T
Mp4g14080	U_HS T
Mp4g14310	U_HS T
Mp4g14360	U_HS T
Mp4g15030	U_HS T
Mp4g15120	U_HS T
Mp4g15430	U_HS T
Mp4g15460	U_HS T
Mp4g15480	U_HS T
Mp4g15770	U_HS T
Mp4g15940	U_HS T
Mp4g16050	U_HS T
Mp4g16550	U_HS T
Mp4g16960	U_HS T
Mp4g17000	U_HS T
Mp4g17020	U_HS T
Mp4g17050	U_HS T
Mp4g17170	U_HS T
Mp4g17230	U_HS T
Mp4g17700	U_HS T
Mp4g17840	U_HS T
Mp4g18050	U_HS T
Mp4g18300	U_HS T
Mp4g18420	U_HS T
Mp4g18970	U_HS T
Mp4g19310	U_HS T
Mp4g19370	U_HS T
Mp4g20210	U_HS T
Mp4g20680	U_HS T
Mp4g20720	U_HS T
Mp4g21220	U_HS T
Mp4g21550	U_HS T
Mp4g21990	U_HS T
Mp4g22050	U_HS T
Mp4g22110	U_HS T
Mp4g22210	U_HS T
Mp4g22240	U_HS T
Mp4g22500	U_HS T
Mp4g22610	U_HS T
Mp4g22620	U_HS T
Mp4g23230	U_HS T
Mp4g23570	U_HS T
Mp5g00390	U_HS T
Mp5g00400	U_HS T
Mp5g00690	U_HS T
Mp5g00700	U_HS T
Mp5g01570	U_HS T
Mp5g01580	U_HS T
Mp5g01770	U_HS T
Mp5g01970	U_HS T
Mp5g01980	U_HS T
Mp5g02980	U_HS T
Mp5g03150	U_HS T
Mp5g03160	U_HS T
Mp5g03180	U_HS T
Mp5g03600	U_HS T
Mp5g03970	U_HS T
Mp5g04040	U_HS T
Mp5g04050	U_HS T
Mp5g04140	U_HS T
Mp5g04260	U_HS T
Mp5g04530	U_HS T
Mp5g04700	U_HS T
Mp5g04750	U_HS T
Mp5g05130	U_HS T
Mp5g05140	U_HS T
Mp5g06100	U_HS T
Mp5g06150	U_HS T
Mp5g06220	U_HS T
Mp5g06260	U_HS T
Mp5g06950	U_HS T
Mp5g06970	U_HS T
Mp5g07400	U_HS T
Mp5g07905	U_HS T
Mp5g08100	U_HS T
Mp5g08640	U_HS T
Mp5g09250	U_HS T
Mp5g09430	U_HS T
Mp5g09760	U_HS T
Mp5g10100	U_HS T
Mp5g10280	U_HS T
Mp5g11120	U_HS T
Mp5g11490	U_HS T
Mp5g12260	U_HS T
Mp5g12480	U_HS T
Mp5g12910	U_HS T
Mp5g13000	U_HS T
Mp5g13140	U_HS T
Mp5g13460	U_HS T
Mp5g13950	U_HS T
Mp5g15000	U_HS T
Mp5g15060	U_HS T
Mp5g15140	U_HS T
Mp5g15230	U_HS T
Mp5g15740	U_HS T
Mp5g15850	U_HS T
Mp5g15940	U_HS T
Mp5g16920	U_HS T
Mp5g16930	U_HS T
Mp5g17400	U_HS T
Mp5g17990	U_HS T
