gene	cluster
Mp3g22950	C2
Mp3g22960	C2
Mp3g22990	C6
Mp3g23140	C6
Mp3g23150	C2
Mp3g23170	C1
Mp3g23380	C8
Mp3g23390	C2
Mp3g23440	C1
Mp3g23520	C1
Mp3g23590	C1
Mp3g23650	C1
Mp3g23760	C5
Mp3g23770	C3
Mp3g23810	C2
Mp3g23840	C2
Mp3g23930	C6
Mp3g23970	C5
Mp3g24050	C5
Mp3g24120	C1
Mp3g24240	C2
Mp3g24290	C2
Mp3g24330	C4
Mp3g24380	C1
Mp3g24400	C2
Mp3g24510	C4
Mp3g24620	C6
Mp3g24640	C1
Mp3g24690	C5
Mp3g24700	C5
Mp3g24720	C5
Mp3g24920	C3
Mp3g24940	C8
Mp3g25090	C6
Mp3g25160	C1
Mp3g25200	C6
Mp3g25210	C1
Mp3g25230	C3
Mp3g25320	C6
Mp3g25370	C3
Mp3g25440	C7
Mp3g25450	C7
Mp3g25515e	C4
Mp4g00005b	C4
Mp4g00070	C1
Mp4g00110	C2
Mp4g00150	C6
Mp4g00180	C1
Mp4g00200	C1
Mp4g00380	C7
Mp4g00430	C2
Mp4g00510	C4
Mp4g00520	C7
Mp4g00650	C5
Mp4g00750	C1
Mp4g00830	C5
Mp4g00950	C4
Mp4g01030	C1
Mp4g01100	C2
Mp4g01210	C2
Mp4g01260	C5
Mp4g01290	C5
Mp4g01320	C1
Mp4g01480	C2
Mp4g01510	C8
Mp4g01540	C6
Mp4g01580	C5
Mp4g01600	C1
Mp4g01700	C6
Mp4g01840	C4
Mp4g01890	C1
Mp4g01900	C6
Mp4g01920	C6
Mp4g01950	C6
Mp4g02070	C8
Mp4g02090	C7
Mp4g02110	C6
Mp4g02130	C5
Mp4g02230	C5
Mp4g02360	C4
Mp4g02370	C5
Mp4g02390	C3
Mp4g02400	C2
Mp4g02430	C6
Mp4g02500	C3
Mp4g02550	C6
Mp4g02700	C1
Mp4g02710	C4
Mp4g02810	C3
Mp4g02840	C3
Mp4g02940	C1
Mp4g02980	C5
Mp4g03040	C6
Mp4g03080	C6
Mp4g03090	C6
Mp4g03120	C7
Mp4g03330	C5
Mp4g03340	C1
Mp4g03350	C1
Mp4g03380	C4
Mp4g03460	C5
Mp4g03500	C5
Mp4g03510	C5
Mp4g03520	C4
Mp4g03530	C1
Mp4g03540	C6
Mp4g03600	C5
Mp4g03650	C4
Mp4g03680	C6
Mp4g03710	C1
Mp4g03780	C2
Mp4g03830	C4
Mp4g03840	C4
Mp4g03850	C5
Mp4g03860	C5
Mp4g03890	C6
Mp4g03920	C8
Mp4g03950	C1
Mp4g03980	C1
Mp4g03990	C5
Mp4g04010	C1
Mp4g04090	C1
Mp4g04110	C5
Mp4g04160	C1
Mp4g04210	C8
Mp4g04230	C7
Mp4g04280	C1
Mp4g04340	C5
Mp4g04600	C5
Mp4g04640	C5
Mp4g04650	C1
Mp4g04800	C6
Mp4g04820	C2
Mp4g04860	C6
Mp4g04950	C6
Mp4g05040	C1
Mp4g05080	C4
Mp4g05170	C7
Mp4g05210	C1
Mp4g05270	C6
Mp4g05290	C6
Mp4g05350	C1
Mp4g05390	C2
Mp4g05440	C7
Mp4g05450	C7
Mp4g05490	C3
Mp4g05500	C2
Mp4g05510	C1
Mp4g05530	C3
Mp4g05810	C5
Mp4g05950	C3
Mp4g05970	C8
Mp4g05980	C8
Mp4g05990	C8
Mp4g06000	C7
Mp4g06040	C8
Mp4g06070	C5
Mp4g06100	C4
Mp4g06180	C6
Mp4g06220	C4
Mp4g06240	C2
Mp4g06260	C6
Mp4g06290	C7
Mp4g06370	C3
Mp4g06390	C5
Mp4g06430	C2
Mp4g06470	C2
Mp4g06560	C3
Mp4g06630	C2
Mp4g06650	C4
Mp4g06660	C3
Mp4g06820	C5
Mp4g06840	C1
Mp4g06970	C2
Mp4g06980	C1
Mp4g07150	C6
Mp4g07180	C4
Mp4g07340	C2
Mp4g07420	C6
Mp4g07520	C4
Mp4g07560	C2
Mp4g07610	C1
Mp4g07630	C3
Mp4g07680	C6
Mp4g07690	C6
Mp4g07800	C6
Mp4g07860	C2
Mp4g07890	C1
Mp4g07920	C6
Mp4g07950	C7
Mp4g07970	C5
Mp4g08020	C5
Mp4g08030	C5
Mp4g08040	C2
Mp4g08070	C1
Mp4g08080	C1
Mp4g08110	C4
Mp4g08200	C4
Mp4g08220	C8
Mp4g08230	C6
Mp4g08240	C1
Mp4g08290	C4
Mp4g08320	C6
Mp4g08360	C4
Mp4g08370	C4
Mp4g08470	C8
Mp4g08550	C2
Mp4g08670	C7
Mp4g08700	C1
Mp4g08740	C2
Mp4g08760	C2
Mp4g08770	C7
Mp4g08820	C6
Mp4g08980	C8
Mp4g09040	C6
Mp4g09190	C1
Mp4g09230	C7
Mp4g09300	C8
Mp4g09330	C5
Mp4g09370	C1
Mp4g09390	C6
Mp4g09410	C7
Mp4g09470	C4
Mp4g09680	C5
Mp4g09740	C5
Mp4g09760	C5
Mp4g09790	C2
Mp4g09950	C2
Mp4g09980	C3
Mp4g10060	C6
Mp4g10290	C4
Mp4g10300	C3
Mp4g10330	C4
Mp4g10370	C5
Mp4g10460	C6
Mp4g10470	C4
Mp4g10490	C6
Mp4g10510	C7
Mp4g10530	C6
Mp4g10620	C8
Mp4g10800	C8
Mp4g10930	C1
Mp4g11020	C6
Mp4g11060	C6
Mp4g11130	C2
Mp4g11220	C8
Mp4g11300	C2
Mp4g11330	C6
Mp4g11370	C1
Mp4g11380	C1
Mp4g11410	C2
Mp4g11600	C7
Mp4g11640	C2
Mp4g11730	C4
Mp4g11800	C4
Mp4g11900	C1
Mp4g11930	C4
Mp4g11950	C5
Mp4g12000	C6
Mp4g12050	C2
Mp4g12110	C5
Mp4g12230	C8
Mp4g12300	C2
Mp4g12350	C2
Mp4g12380	C3
Mp4g12490	C6
Mp4g12510	C4
Mp4g12630	C6
Mp4g12800	C7
Mp4g12810	C7
Mp4g12820	C2
Mp4g12890	C2
Mp4g13040	C8
Mp4g13170	C2
Mp4g13330	C2
Mp4g13340	C4
Mp4g13390	C4
Mp4g13430	C6
Mp4g13440	C6
Mp4g13450	C6
Mp4g13480	C7
Mp4g13500	C1
Mp4g13720	C7
Mp4g13730	C7
Mp4g13780	C1
Mp4g13840	C7
Mp4g13940	C6
Mp4g13980	C2
Mp4g14080	C2
Mp4g14100	C5
Mp4g14110	C5
Mp4g14120	C5
Mp4g14140	C5
Mp4g14150	C5
Mp4g14160	C5
Mp4g14180	C5
Mp4g14190	C6
Mp4g14200	C5
Mp4g14210	C5
Mp4g14220	C5
Mp4g14310	C2
Mp4g14330	C4
Mp4g14350	C6
Mp4g14360	C2
Mp4g14400	C5
Mp4g14500	C3
Mp4g14550	C5
Mp4g14580	C6
Mp4g14600	C5
Mp4g14620	C5
Mp4g14660	C3
Mp4g14930	C1
Mp4g14960	C5
Mp4g14980	C7
Mp4g15010	C7
Mp4g15030	C2
Mp4g15090	C3
Mp4g15120	C3
Mp4g15170	C4
Mp4g15320	C5
Mp4g15420	C3
Mp4g15430	C2
Mp4g15440	C5
Mp4g15450	C5
Mp4g15460	C3
Mp4g15480	C2
Mp4g15570	C8
Mp4g15710	C4
Mp4g15770	C4
Mp4g15860	C5
Mp4g15940	C2
Mp4g15970	C2
Mp4g15980	C6
Mp4g16010	C6
Mp4g16020	C5
Mp4g16030	C7
Mp4g16050	C2
Mp4g16110	C4
Mp4g16120	C5
Mp4g16180	C4
Mp4g16250	C4
Mp4g16270	C1
Mp4g16310	C3
Mp4g16430	C1
Mp4g16550	C3
Mp4g16740	C5
Mp4g16860	C8
Mp4g16930	C3
Mp4g16960	C2
Mp4g17000	C3
Mp4g17020	C2
Mp4g17050	C2
Mp4g17170	C2
Mp4g17230	C3
Mp4g17240	C3
Mp4g17350	C8
Mp4g17360	C4
Mp4g17420	C7
Mp4g17700	C2
Mp4g17820	C1
Mp4g17840	C4
Mp4g17880	C8
Mp4g17950	C4
Mp4g18010	C6
Mp4g18020	C1
Mp4g18050	C2
Mp4g18140	C2
Mp4g18210	C7
Mp4g18220	C1
Mp4g18290	C1
Mp4g18300	C3
Mp4g18370	C5
Mp4g18380	C5
Mp4g18420	C4
Mp4g18900	C1
Mp4g18970	C2
Mp4g19000	C5
Mp4g19310	C2
Mp4g19320	C1
Mp4g19370	C4
Mp4g19390	C5
Mp4g19540	C1
Mp4g19560	C1
Mp4g19590	C1
Mp4g19600	C1
Mp4g19650	C1
Mp4g19700	C1
Mp4g19730	C1
Mp4g19760	C6
Mp4g19770	C4
Mp4g19780	C2
Mp4g19840	C8
Mp4g19900	C5
Mp4g20210	C2
Mp4g20223	C1
Mp4g20226	C1
Mp4g20340	C1
Mp4g20420	C1
Mp4g20440	C6
Mp4g20450	C6
Mp4g20540	C5
Mp4g20680	C2
Mp4g20690	C8
Mp4g20720	C3
Mp4g20740	C1
Mp4g20760	C5
Mp4g20960	C5
Mp4g21050	C3
Mp4g21060	C6
Mp4g21100	C6
Mp4g21110	C1
Mp4g21120	C5
Mp4g21180	C5
Mp4g21220	C4
Mp4g21270	C1
Mp4g21350	C1
Mp4g21360	C1
Mp4g21450	C4
Mp4g21500	C4
Mp4g21550	C4
Mp4g21660	C5
Mp4g21730	C4
Mp4g21790	C6
Mp4g21880	C1
Mp4g21990	C4
Mp4g22050	C4
Mp4g22110	C4
Mp4g22180	C1
Mp4g22210	C2
Mp4g22230	C4
Mp4g22240	C4
Mp4g22280	C7
Mp4g22340	C1
Mp4g22370	C1
Mp4g22420	C8
Mp4g22450	C5
Mp4g22500	C2
Mp4g22550	C5
Mp4g22580	C4
Mp4g22610	C2
Mp4g22620	C4
Mp4g22680	C1
Mp4g22860	C4
Mp4g22970	C4
Mp4g23140	C1
Mp4g23230	C4
Mp4g23270	C3
Mp4g23320	C3
Mp4g23340	C6
Mp4g23370	C7
Mp4g23420	C6
Mp4g23480	C7
Mp4g23570	C2
Mp4g23630	C2
Mp4g23700	C4
Mp4g23890	C1
Mp4g23980	C2
Mp5g00005b	C4
Mp5g00140	C2
Mp5g00160	C1
Mp5g00360	C5
Mp5g00390	C2
Mp5g00400	C2
Mp5g00470	C7
Mp5g00520	C4
Mp5g00550	C6
Mp5g00560	C7
Mp5g00590	C7
Mp5g00620	C5
Mp5g00630	C4
Mp5g00690	C2
Mp5g00700	C2
Mp5g00860	C6
Mp5g01110	C3
Mp5g01200	C5
Mp5g01570	C4
Mp5g01580	C4
Mp5g01770	C2
Mp5g01800	C6
Mp5g01880	C6
Mp5g01910	C6
Mp5g01970	C2
Mp5g01980	C3
Mp5g02000	C1
Mp5g02030	C3
Mp5g02050	C2
Mp5g02080	C5
Mp5g02090	C2
Mp5g02270	C8
Mp5g02330	C1
Mp5g02340	C1
Mp5g02500	C5
Mp5g02510	C8
Mp5g02620	C5
Mp5g02730	C1
Mp5g02750	C4
Mp5g02800	C7
Mp5g02980	C2
Mp5g03090	C1
Mp5g03140	C5
Mp5g03150	C2
Mp5g03160	C2
Mp5g03180	C2
Mp5g03330	C4
Mp5g03340	C1
Mp5g03360	C4
Mp5g03520	C6
Mp5g03560	C6
Mp5g03580	C8
Mp5g03600	C2
Mp5g03670	C6
Mp5g03900	C6
Mp5g03920	C6
Mp5g03970	C2
Mp5g04040	C2
Mp5g04050	C2
Mp5g04070	C7
Mp5g04140	C2
Mp5g04210	C4
Mp5g04260	C2
Mp5g04520	C4
Mp5g04530	C3
Mp5g04580	C6
Mp5g04600	C6
Mp5g04700	C3
Mp5g04710	C5
Mp5g04750	C4
Mp5g04760	C7
Mp5g04860	C4
Mp5g04900	C1
Mp5g04910	C5
Mp5g04950	C1
Mp5g05070	C1
Mp5g05130	C3
Mp5g05140	C3
Mp5g05150	C6
Mp5g05320	C3
Mp5g05380	C3
Mp5g05390	C2
Mp5g05400	C6
Mp5g05520	C5
Mp5g05560	C5
Mp5g05730	C7
Mp5g05780	C6
Mp5g05830	C7
Mp5g05900	C4
Mp5g05940	C5
Mp5g06100	C2
Mp5g06150	C4
Mp5g06220	C4
Mp5g06260	C2
Mp5g06340	C6
Mp5g06380	C4
Mp5g06450	C4
Mp5g06470	C4
Mp5g06550	C6
Mp5g06600	C4
Mp5g06630	C1
Mp5g06710	C7
Mp5g06950	C2
Mp5g06960	C3
Mp5g06970	C7
Mp5g07150	C6
Mp5g07190	C1
Mp5g07200	C1
Mp5g07330	C8
Mp5g07400	C4
Mp5g07420	C4
Mp5g07440	C7
Mp5g07500	C1
Mp5g07540	C1
Mp5g07640	C1
Mp5g07740	C6
Mp5g07905	C3
Mp5g07940	C6
Mp5g07950	C6
Mp5g07990	C5
Mp5g08020	C5
Mp5g08040	C4
Mp5g08070	C5
Mp5g08090	C6
Mp5g08100	C2
Mp5g08110	C4
Mp5g08140	C4
Mp5g08320	C5
Mp5g08420	C4
Mp5g08490	C5
Mp5g08550	C6
Mp5g08560	C2
Mp5g08580	C2
Mp5g08590	C4
Mp5g08640	C4
Mp5g08720	C4
Mp5g08730	C6
Mp5g08750	C1
Mp5g08770	C1
Mp5g08790	C4
Mp5g08910	C7
Mp5g08960	C6
Mp5g09050	C4
Mp5g09070	C3
Mp5g09090	C4
Mp5g09130	C6
Mp5g09250	C3
Mp5g09400	C8
Mp5g09410	C4
Mp5g09430	C2
Mp5g09450	C7
Mp5g09530	C4
Mp5g09580	C2
Mp5g09620	C3
Mp5g09710	C6
Mp5g09760	C7
Mp5g09910	C7
Mp5g10100	C3
Mp5g10120	C7
Mp5g10260	C6
Mp5g10280	C2
Mp5g10430	C5
Mp5g10480	C1
Mp5g10550	C5
Mp5g10600	C7
Mp5g10660	C5
Mp5g10670	C5
Mp5g10690	C7
Mp5g10700	C5
Mp5g10800	C6
Mp5g10960	C6
Mp5g11030	C1
Mp5g11060	C5
Mp5g11110	C6
Mp5g11120	C2
Mp5g11150	C3
Mp5g11160	C5
Mp5g11280	C6
Mp5g11290	C6
Mp5g11300	C6
Mp5g11410	C7
Mp5g11430	C1
Mp5g11440	C7
Mp5g11460	C1
Mp5g11490	C5
Mp5g11520	C2
Mp5g11750	C2
Mp5g11830	C5
Mp5g11910	C3
Mp5g12010	C4
Mp5g12090	C4
Mp5g12200	C5
Mp5g12230	C6
Mp5g12260	C3
Mp5g12390	C4
Mp5g12460	C5
Mp5g12480	C2
Mp5g12510	C6
Mp5g12520	C6
Mp5g12530	C6
Mp5g12880	C1
Mp5g12910	C3
Mp5g12930	C3
Mp5g12960	C6
Mp5g13000	C2
Mp5g13020	C5
Mp5g13090	C4
Mp5g13130	C3
Mp5g13140	C4
Mp5g13190	C5
Mp5g13230	C6
Mp5g13250	C1
Mp5g13300	C6
Mp5g13320	C4
Mp5g13350	C7
Mp5g13390	C6
Mp5g13430	C4
Mp5g13460	C3
Mp5g13490	C6
Mp5g13690	C5
Mp5g13700	C6
Mp5g13860	C6
Mp5g13870	C6
Mp5g13950	C2
Mp5g14020	C5
Mp5g14050	C7
Mp5g14070	C2
Mp5g14210	C1
Mp5g14320	C7
Mp5g14430	C6
Mp5g14440	C6
Mp5g14670	C5
Mp5g14700	C5
Mp5g14750	C4
Mp5g14820	C5
Mp5g14900	C1
Mp5g15000	C3
Mp5g15040	C6
Mp5g15060	C2
Mp5g15110	C2
Mp5g15140	C2
Mp5g15230	C2
Mp5g15290	C1
Mp5g15320	C6
Mp5g15390	C7
Mp5g15410	C3
Mp5g15430	C1
Mp5g15550	C3
Mp5g15620	C7
Mp5g15650	C8
Mp5g15690	C1
Mp5g15740	C2
Mp5g15770	C1
Mp5g15820	C6
Mp5g15850	C2
Mp5g15940	C2
Mp5g15980	C5
Mp5g15990	C5
Mp5g16060	C1
Mp5g16090	C1
Mp5g16220	C5
Mp5g16230	C1
Mp5g16240	C5
Mp5g16540	C8
Mp5g16560	C6
Mp5g16770	C5
Mp5g16780	C2
Mp5g16820	C5
Mp5g16840	C6
Mp5g16900	C5
Mp5g16910	C6
Mp5g16920	C5
Mp5g16930	C5
Mp5g17270	C5
Mp5g17400	C4
Mp5g17520	C6
Mp5g17550	C1
Mp5g17610	C1
Mp5g17730	C6
Mp5g17870	C1
Mp5g17910	C5
Mp5g17990	C2
Mp5g18010	C3
Mp5g18090	C6
Mp5g18180	C6
Mp5g18190	C6
Mp5g18250	C7
Mp5g18320	C5
Mp5g18350	C5
Mp5g18380	C8
Mp5g18460	C6
Mp5g18490	C6
Mp5g18500	C1
Mp5g18530	C6
Mp5g18680	C5
Mp5g18690	C3
Mp5g18720	C6
Mp5g18790	C6
Mp5g18820	C1
Mp5g18870	C4
Mp5g18910	C7
Mp5g18960	C5
Mp5g18970	C4
Mp5g18980	C4
Mp5g18990	C6
Mp5g19150	C5
Mp5g19160	C5
Mp5g19190	C7
Mp5g19380	C6
Mp5g19480	C4
Mp5g19560	C5
Mp5g19570	C4
Mp5g19620	C3
Mp5g19630	C7
Mp5g19670	C3
Mp5g19680	C4
Mp5g19710	C2
Mp5g19770	C1
Mp5g19790	C6
Mp5g19810	C6
Mp5g19820	C4
Mp5g19840	C6
Mp5g19880	C5
Mp5g19920	C1
Mp5g19970	C7
Mp5g19990	C6
Mp5g20040	C6
Mp5g20045	C6
Mp5g20360	C4
Mp5g20380	C6
Mp5g20470	C2
Mp5g20660	C5
Mp5g20790	C6
Mp5g20860	C4
Mp5g20900	C2
Mp5g20910	C5
Mp5g20930	C4
Mp5g21020	C7
Mp5g21040	C1
Mp5g21100	C8
Mp5g21130	C3
Mp5g21210	C5
Mp5g21350	C1
Mp5g21380	C5
Mp5g21385	C6
Mp5g21420	C5
Mp5g21450	C6
Mp5g21600	C5
Mp5g21640	C1
Mp5g21780	C6
Mp5g21870	C2
Mp5g21920	C1
Mp5g21930	C2
Mp5g21960	C1
Mp5g22080	C6
Mp5g22160	C1
Mp5g22190	C4
Mp5g22410	C5
Mp5g22540	C4
Mp5g22590	C5
Mp5g22730	C2
Mp5g22790	C4
Mp5g22830	C4
Mp5g22920	C2
Mp5g23080	C6
Mp5g23350	C4
Mp5g23520	C1
Mp5g23540	C1
Mp5g23550	C7
Mp5g23560	C4
Mp5g23660	C4
Mp5g23700	C2
Mp5g23740	C6
Mp5g23750	C2
Mp5g23860	C2
Mp5g24010	C1
Mp5g24090	C3
Mp5g24120	C3
Mp5g24130	C7
Mp5g24210	C8
Mp5g24220	C2
Mp5g24230	C2
Mp5g24330	C1
Mp5g24340	C1
Mp5g24390	C2
Mp5g24400	C7
Mp5g24420	C7
Mp5g24500	C6
Mp5g24550	C6
Mp6g00020	C5
Mp6g00130	C7
Mp6g00310	C4
Mp6g00360	C2
Mp6g00390	C2
Mp6g00400	C6
Mp6g00460	C1
Mp6g00480	C1
Mp6g00500	C1
Mp6g00690	C1
Mp6g00770	C4
Mp6g00790	C1
Mp6g01030	C5
Mp6g01060	C1
Mp6g01110	C2
Mp6g01190	C5
Mp6g01270	C1
Mp6g01310	C3
Mp6g01410	C6
Mp6g01420	C2
Mp6g01440	C6
Mp6g01490	C3
Mp6g01550	C7
Mp6g01570	C2
Mp6g01720	C2
Mp6g01840	C6
Mp6g01870	C4
Mp6g01960	C1
Mp6g02000	C3
Mp6g02020	C7
Mp6g02030	C8
Mp6g02060	C8
Mp6g02070	C8
Mp6g02120	C5
Mp6g02130	C6
Mp6g02160	C5
Mp6g02170	C4
Mp6g02250	C4
Mp6g02280	C4
Mp6g02290	C3
Mp6g02380	C1
Mp6g02400	C4
Mp6g02420	C3
Mp6g02550	C3
Mp6g02620	C1
Mp6g02830	C4
Mp6g02860	C7
Mp6g02870	C1
Mp6g02920	C6
Mp6g03030	C8
Mp6g03090	C8
Mp6g03150	C6
Mp6g03240	C6
Mp6g03280	C4
Mp6g03300	C1
Mp6g03310	C7
Mp6g03320	C2
Mp6g03330	C2
Mp6g03450	C6
Mp6g03510	C1
Mp6g03620	C1
Mp6g03700	C3
Mp6g03710	C4
Mp6g03720	C1
Mp6g03790	C7
Mp6g03850	C1
Mp6g03890	C5
Mp6g03920	C4
Mp6g03960	C4
Mp6g03970	C1
Mp6g03990	C5
Mp6g04020	C4
Mp6g04070	C6
Mp6g04110	C1
Mp6g04470	C1
Mp6g04480	C6
Mp6g04540	C3
Mp6g04710	C8
Mp6g04760	C2
Mp6g04770	C2
Mp6g04780	C5
Mp6g04830	C5
Mp6g04880	C7
Mp6g04930	C1
Mp6g05000	C6
Mp6g05060	C2
Mp6g05120	C1
Mp6g05140	C2
Mp6g05150	C2
Mp6g05250	C3
Mp6g05340	C2
Mp6g05390	C4
Mp6g05430	C8
Mp6g05500	C5
Mp6g05510	C4
Mp6g05520	C2
Mp6g05530	C2
Mp6g05540	C6
Mp6g05600	C5
Mp6g05670	C4
Mp6g05730	C7
Mp6g05800	C1
Mp6g05850	C4
Mp6g05900	C2
Mp6g05940	C5
Mp6g05980	C6
Mp6g06000	C5
Mp6g06010	C3
Mp6g06020	C3
Mp6g06220	C1
Mp6g06260	C2
Mp6g06540	C2
Mp6g06600	C2
Mp6g06720	C4
Mp6g06810	C3
Mp6g06900	C2
Mp6g06950	C2
Mp6g06960	C5
Mp6g06980	C4
Mp6g07010	C6
Mp6g07050	C6
Mp6g07120	C6
Mp6g07150	C1
Mp6g07160	C1
Mp6g07310	C4
Mp6g07390	C4
Mp6g07470	C1
Mp6g07550	C6
Mp6g07560	C7
Mp6g07630	C4
Mp6g07760	C5
Mp6g07910	C6
Mp6g07950	C8
Mp6g08020	C4
Mp6g08030	C5
Mp6g08040	C4
Mp6g08170	C4
Mp6g08190	C4
Mp6g08200	C1
Mp6g08260	C3
Mp6g08270	C3
Mp6g08280	C2
Mp6g08310	C6
Mp6g08420	C5
Mp6g08530	C3
Mp6g08540	C3
Mp6g08550	C6
Mp6g08660	C2
Mp6g08690	C5
Mp6g08810	C1
Mp6g08960	C5
Mp6g09180	C6
Mp6g09190	C2
Mp6g09230	C3
Mp6g09240	C2
Mp6g09250	C2
Mp6g09300	C6
Mp6g09310	C4
Mp6g09420	C7
Mp6g09570	C8
Mp6g09590	C6
Mp6g09630	C8
Mp6g09650	C4
Mp6g09730	C6
Mp6g09900	C1
Mp6g09960	C6
Mp6g10070	C6
Mp6g10120	C4
Mp6g10160	C2
Mp6g10230	C3
Mp6g10280	C5
Mp6g10330	C4
Mp6g10340	C4
Mp6g10350	C1
Mp6g10370	C4
Mp6g10450	C2
Mp6g10520	C4
Mp6g10570	C1
Mp6g10840	C1
Mp6g10900	C8
Mp6g10990	C8
Mp6g11030	C6
Mp6g11240	C1
Mp6g11300	C3
Mp6g11340	C7
Mp6g11440	C1
Mp6g11540	C6
Mp6g11570	C4
Mp6g11680	C6
Mp6g11700	C5
Mp6g11720	C8
Mp6g11740	C1
Mp6g11780	C7
Mp6g11790	C8
Mp6g11810	C5
Mp6g11870	C4
Mp6g11940	C5
Mp6g11960	C2
Mp6g12090	C7
Mp6g12130	C4
Mp6g12260	C1
Mp6g12310	C6
Mp6g12330	C7
Mp6g12580	C2
Mp6g12650	C4
Mp6g12710	C3
Mp6g12740	C6
Mp6g12900	C4
Mp6g12970	C7
Mp6g13030	C3
Mp6g13140	C2
Mp6g13190	C4
Mp6g13200	C2
Mp6g13210	C1
Mp6g13270	C6
Mp6g13590	C8
Mp6g13610	C6
Mp6g13670	C4
Mp6g13680	C3
Mp6g13700	C6
Mp6g13850	C2
Mp6g13910	C7
Mp6g14070	C5
Mp6g14080	C5
Mp6g14140	C5
Mp6g14180	C2
Mp6g14200	C5
Mp6g14210	C6
Mp6g14300	C2
Mp6g14340	C7
Mp6g14400	C4
Mp6g14420	C5
Mp6g14490	C1
Mp6g14510	C2
Mp6g14520	C2
Mp6g14550	C1
Mp6g14600	C1
Mp6g14720	C2
Mp6g14730	C2
Mp6g14830	C4
Mp6g14850	C6
Mp6g14990	C6
Mp6g15110	C7
Mp6g15150	C2
Mp6g15230	C4
Mp6g15240	C5
Mp6g15250	C5
Mp6g15280	C4
Mp6g15460	C8
Mp6g15580	C4
Mp6g15610	C5
Mp6g15620	C1
Mp6g15640	C1
Mp6g15650	C1
Mp6g15680	C7
Mp6g15810	C7
Mp6g15820	C7
Mp6g16230	C3
Mp6g16280	C1
Mp6g16310	C4
Mp6g16320	C5
Mp6g16370	C1
Mp6g16380	C1
Mp6g16430	C1
Mp6g16500	C7
Mp6g16540	C4
Mp6g16740	C1
Mp6g16800	C6
Mp6g16880	C3
Mp6g16900	C4
Mp6g16970	C2
Mp6g16980	C1
Mp6g17000	C2
Mp6g17040	C1
Mp6g17050	C1
Mp6g17140	C6
Mp6g17160	C1
Mp6g17220	C1
Mp6g17230	C8
Mp6g17240	C8
Mp6g17260	C7
Mp6g17270	C1
Mp6g17310	C4
Mp6g17320	C4
Mp6g17450	C4
Mp6g17540	C8
Mp6g17560	C3
Mp6g17700	C8
Mp6g17720	C8
Mp6g17890	C7
Mp6g18000	C1
Mp6g18030	C8
Mp6g18130	C8
Mp6g18180	C1
Mp6g18200	C5
Mp6g18230	C3
Mp6g18450	C8
Mp6g18480	C4
Mp6g18550	C4
Mp6g18650	C1
Mp6g18730	C6
Mp6g18780	C6
Mp6g18930	C1
Mp6g18940	C7
Mp6g19010	C2
Mp6g19040	C7
Mp6g19130	C3
Mp6g19170	C2
Mp6g19230	C4
Mp6g19260	C5
Mp6g19380	C5
Mp6g19470	C2
Mp6g19490	C1
Mp6g19530	C7
Mp6g19550	C2
Mp6g19580	C2
Mp6g19640	C4
Mp6g19790	C2
Mp6g19800	C2
Mp6g20000	C5
Mp6g20040	C6
Mp6g20080	C1
Mp6g20100	C1
Mp6g20120	C6
Mp6g20220	C1
Mp6g20250	C6
Mp6g20290	C8
Mp6g20300	C2
Mp6g20310	C6
Mp6g20360	C2
Mp6g20440	C5
Mp6g20450	C2
Mp6g20460	C3
Mp6g20490	C8
Mp6g20500	C3
Mp6g20540	C8
Mp6g20580	C5
Mp6g20600	C2
Mp6g20690	C3
Mp6g20700	C2
Mp6g20810	C5
Mp6g20880	C5
Mp6g20900	C6
Mp6g21240	C4
Mp6g21290	C1
Mp6g21320	C6
Mp6g21430	C6
Mp7g00020	C1
Mp7g00090	C1
Mp7g00230	C5
Mp7g00490	C1
Mp7g00590	C1
Mp7g00610	C6
Mp7g00640	C3
Mp7g00670	C4
Mp7g00710	C3
Mp7g00750	C6
Mp7g00860	C1
Mp7g00880	C4
Mp7g00890	C4
Mp7g00920	C1
Mp7g00970	C4
Mp7g01000	C2
Mp7g01080	C4
Mp7g01110	C1
Mp7g01150	C1
Mp7g01230	C7
Mp7g01270	C6
Mp7g01300	C4
Mp7g01320	C1
Mp7g01390	C7
Mp7g01400	C6
Mp7g01430	C5
Mp7g01460	C2
Mp7g01520	C6
Mp7g01570	C4
Mp7g01590	C8
Mp7g01660	C6
Mp7g01740	C1
Mp7g01840	C3
Mp7g01910	C6
Mp7g01940	C5
Mp7g01950	C7
Mp7g01970	C3
Mp7g02050	C3
Mp7g02060	C4
Mp7g02120	C1
Mp7g02160	C6
Mp7g02180	C5
Mp7g02200	C2
Mp7g02330	C2
Mp7g02340	C5
Mp7g02440	C6
Mp7g02470	C7
Mp7g02480	C1
Mp7g02500	C6
Mp7g02590	C2
Mp7g02600	C2
Mp7g02680	C1
Mp7g02760	C6
Mp7g02860	C1
Mp7g02900	C5
Mp7g03030	C7
Mp7g03040	C8
Mp7g03070	C5
Mp7g03090	C4
Mp7g03150	C1
Mp7g03180	C2
Mp7g03220	C4
Mp7g03250	C1
Mp7g03330	C4
Mp7g03410	C2
Mp7g03490	C4
Mp7g03650	C8
Mp7g03660	C4
Mp7g03680	C1
Mp7g03750	C2
Mp7g03770	C6
Mp7g03790	C1
Mp7g03860	C2
Mp7g03880	C6
Mp7g03960	C2
Mp7g04060	C1
Mp7g04070	C1
Mp7g04240	C3
