gene	cluster
Mp1g19310	C5
Mp1g19380	C6
Mp1g19400	C1
Mp1g19410	C5
Mp1g19500	C2
Mp1g19590	C6
Mp1g19650	C2
Mp1g19680	C1
Mp1g19730	C4
Mp1g19750	C1
Mp1g19760	C6
Mp1g20010	C7
Mp1g20040	C6
Mp1g20050	C8
Mp1g20090	C1
Mp1g20130	C6
Mp1g20160	C4
Mp1g20250	C5
Mp1g20280	C4
Mp1g20330	C6
Mp1g20360	C1
Mp1g20450	C2
Mp1g20490	C5
Mp1g20520	C4
Mp1g20610	C2
Mp1g20650	C8
Mp1g20740	C2
Mp1g20750	C3
Mp1g20770	C2
Mp1g20810	C6
Mp1g20830	C7
Mp1g20870	C1
Mp1g20880	C4
Mp1g20960	C6
Mp1g21110	C6
Mp1g21115	C6
Mp1g21250	C4
Mp1g21270	C6
Mp1g21440	C5
Mp1g21600	C6
Mp1g21630	C3
Mp1g21640	C2
Mp1g21660	C2
Mp1g21700	C1
Mp1g21730	C5
Mp1g21770	C4
Mp1g21800	C1
Mp1g21830	C4
Mp1g21860	C1
Mp1g21870	C1
Mp1g21930	C5
Mp1g21950	C4
Mp1g21980	C7
Mp1g22130	C8
Mp1g22200	C6
Mp1g22310	C1
Mp1g22360	C8
Mp1g22370	C6
Mp1g22410	C6
Mp1g22460	C6
Mp1g22530	C4
Mp1g22540	C3
Mp1g22550	C4
Mp1g22600	C1
Mp1g22700	C6
Mp1g22880	C1
Mp1g22940	C3
Mp1g23060	C3
Mp1g23070	C6
Mp1g23160	C6
Mp1g23190	C1
Mp1g23210	C6
Mp1g23220	C8
Mp1g23260	C1
Mp1g23340	C6
Mp1g23430	C7
Mp1g23640	C5
Mp1g23650	C6
Mp1g23730	C5
Mp1g23740	C4
Mp1g23760	C4
Mp1g23770	C8
Mp1g23790	C4
Mp1g24040	C4
Mp1g24060	C4
Mp1g24070	C2
Mp1g24140	C1
Mp1g24190	C1
Mp1g24220	C6
Mp1g24230	C6
Mp1g24320	C4
Mp1g24370	C2
Mp1g24430	C1
Mp1g24470	C3
Mp1g24480	C3
Mp1g24650	C2
Mp1g24740	C1
Mp1g24820	C5
Mp1g24830	C7
Mp1g24850	C5
Mp1g24970	C3
Mp1g25000	C1
Mp1g25060	C4
Mp1g25080	C1
Mp1g25130	C7
Mp1g25240	C1
Mp1g25410	C6
Mp1g25420	C1
Mp1g25480	C1
Mp1g25540	C4
Mp1g25550	C4
Mp1g25610	C5
Mp1g25620	C5
Mp1g25680	C2
Mp1g25730	C1
Mp1g25840	C6
Mp1g25850	C1
Mp1g25860	C1
Mp1g25870	C4
Mp1g25890	C5
Mp1g25940	C3
Mp1g25980	C7
Mp1g26000	C5
Mp1g26030	C4
Mp1g26160	C4
Mp1g26230	C7
Mp1g26240	C4
Mp1g26280	C2
Mp1g26300	C2
Mp1g26440	C3
Mp1g26490	C1
Mp1g26540	C6
Mp1g26600	C2
Mp1g26610	C2
Mp1g26670	C6
Mp1g26820	C6
Mp1g26850	C4
Mp1g26910	C1
Mp1g26920	C7
Mp1g27040	C2
Mp1g27050	C6
Mp1g27080	C1
Mp1g27090	C6
Mp1g27110	C4
Mp1g27140	C6
Mp1g27220	C6
Mp1g27310	C4
Mp1g27550	C1
Mp1g27560	C5
Mp1g27630	C5
Mp1g27640	C8
Mp1g27720	C4
Mp1g27780	C2
Mp1g27860	C2
Mp1g27870	C5
Mp1g27920	C7
Mp1g27930	C4
Mp1g27940	C1
Mp1g27950	C1
Mp1g27960	C1
Mp1g27990	C1
Mp1g28000	C4
Mp1g28010	C4
Mp1g28040	C5
Mp1g28160	C4
Mp1g28170	C4
Mp1g28180	C7
Mp1g28240	C5
Mp1g28300	C5
