output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C2_MYB_7-C4_MYB_7	NA	C2_MYB_7-C4_MYB_7	C_	134	14.6486	16	11.7208	13	0.36028	1.5063e-67	True
_C6_NAC_4	NA	C6_NAC_4	C_	224	11.68083	21	9.83972	20	0.41293	1.67167e-81	True
_C10_bZIP_3-C2_bZIP_3-C3_bZIP_3-C6_bZIP_3-C9_bZIP_3	NA	C10_bZIP_3-C2_bZIP_3-C3_bZIP_3-C6_bZIP_3-C9_bZIP_3	C_	215	6.08435	7	5.32249	6	-0.01204	0.0213266	True
_C6_LOBAS2_4	NA	C6_LOBAS2_4	C_2	235	10.1958	21	8.48975	18	-0.0102	0.122077	True
_C4_C2C2YABBY_5	NA	C4_C2C2YABBY_5	C_	892	9.69722	55	8.41792	54	0.19626	1.52689e-83	True
_C10_AP2EREBP_82-C6_AP2EREBP_96	NA	C10_AP2EREBP_82-C6_AP2EREBP_96	C_	479	9.4059	28	7.42024	27	0.35274	2.27585e-92	True
_C4_AP2EREBP_144	NA	C4_AP2EREBP_144	C_	858	9.9345	55	8.32694	52	0.236	2.42726e-84	True
_C10_GRF_4	NA	C10_GRF_4	C_	897	7.85426	41	6.09549	36	0.2544	5.34005e-93	True
_C4_C2H2_37-C6_C2H2_57-C9_C2H2_25	NA	C4_C2H2_37-C6_C2H2_57-C9_C2H2_25	C_	408	8.52155	19	6.72194	18	0.40989	3.70505e-96	True
_C9_BZR_7	NA	C9_BZR_7	C_	667	7.47751	28	5.804	25	0.25553	3.98008e-87	True
_C10_AP2EREBP_168-C2_AP2EREBP_197	NA	C10_AP2EREBP_168-C2_AP2EREBP_197	C_	305	7.43036	16	5.48216	12	0.33316	4.15568e-79	True
_C4_NAC_20	NA	C4_NAC_20	C_	95	7.62676	6	5.95013	4	0.31692	5.29938e-51	True
_C10_bHLH_35-C2_bHLH_41	NA	C10_bHLH_35-C2_bHLH_41	C_	739	8.92641	41	7.02776	32	0.28738	4.69877e-88	True
_C10_NLP_19	NA	C10_NLP_19	C_	722	7.78912	35	6.51931	34	0.25918	1.31489e-83	True
_C6_C2H2_77	NA	C6_C2H2_77	C_	310	9.91663	18	7.44629	19	0.34412	4.33478e-81	True
_C10_AP2EREBP_170-C2_AP2EREBP_201-C5_AP2EREBP_61-C6_AP2EREBP_226	NA	C10_AP2EREBP_170-C2_AP2EREBP_201-C5_AP2EREBP_61-C6_AP2EREBP_226	C_	309	5.18271	4	3.663	4	0.32013	3.62414e-78	True
_C3_WRKY_12	NA	C3_WRKY_12	C_	569	6.20866	17	4.44167	15	0.33236	1.47171e-90	True
_C2_AP2EREBP_185	NA	C2_AP2EREBP_185	C_	529	8.68521	22	6.37374	21	0.29122	5.30658e-84	True
_C6_HSF_1	NA	C6_HSF_1	C_	1077	8.06876	67	6.8674	58	0.19867	9.53967e-85	True
_C4_BBRBPC_12-C6_BBRBPC_11	NA	C4_BBRBPC_12-C6_BBRBPC_11	C_	314	7.8725	13	5.97705	14	0.33298	6.1792e-81	True
_C6_BBRBPC_2	NA	C6_BBRBPC_2	C_	709	10.63736	52	8.26575	51	0.21754	1.13503e-83	True
_C5_NAC_5	NA	C5_NAC_5	C_	1004	11.13986	79	9.60894	72	0.1979	2.39297e-84	True
_C5_C2H2_22	NA	C5_C2H2_22	C_	789	9.18043	39	7.00606	32	0.31804	1.25092e-104	True
_C10_BBRBPC_5-C4_BBRBPC_6	NA	C10_BBRBPC_5-C4_BBRBPC_6	C_	517	8.46386	30	6.33685	27	0.2985	7.22616e-83	True
_C10_C2C2gata_26-C6_C2C2gata_39	NA	C10_C2C2gata_26-C6_C2C2gata_39	C_	496	11.83363	32	10.18238	36	0.26695	8.88279e-86	True
_C10_bZIP_44-C2_bZIP_46	NA	C10_bZIP_44-C2_bZIP_46	C_	751	10.35794	51	8.01913	42	0.25404	2.88599e-86	True
_C6_C2H2_61	NA	C6_C2H2_61	C_	605	11.0355	45	9.02574	43	0.27374	4.91819e-89	True
_C4_C2H2_49	NA	C4_C2H2_49	C_	1078	11.05486	84	9.91669	78	0.23643	9.59948e-94	True
_C4_LOBAS2_19	NA	C4_LOBAS2_19	C_	486	9.40933	32	7.38627	31	0.2807	2.64827e-85	True
_C2_C2H2_78-C4_C2H2_65-C6_C2H2_99	NA	C2_C2H2_78-C4_C2H2_65-C6_C2H2_99	C_	635	9.16426	37	6.98735	37	0.32377	1.07451e-87	True
_C10_bHLH_33-C3_bHLH_36	NA	C10_bHLH_33-C3_bHLH_36	C_	685	8.13458	29	6.42197	26	0.22076	1.70743e-81	True
_C2_bHLH_51	NA	C2_bHLH_51	C_	353	12.00963	25	10.2979	25	0.3187	3.13461e-74	True
_C1_bHLH_4	NA	C1_bHLH_4	C_	136	11.64994	15	10.35982	15	-0.03081	0.0577942	True
_C10_LOBAS2_12-C2_LOBAS2_17-C3_LOBAS2_6-C5_LOBAS2_2-C6_LOBAS2_7-C9_LOBAS2_10	NA	C10_LOBAS2_12-C2_LOBAS2_17-C3_LOBAS2_6-C5_LOBAS2_2-C6_LOBAS2_7-C9_LOBAS2_10	C_	194	11.36341	14	8.48428	14	0.40883	1.59542e-81	True
_C3_CAMTA_7	NA	C3_CAMTA_7	C_	48	18.59697	8	14.9726	9	0.32032	7.01429e-40	True
_C3_TCP_77	NA	C3_TCP_77	C_	251	10.31059	16	8.31003	16	0.33523	8.57953e-74	True
_C3_AP2EREBP_168	NA	C3_AP2EREBP_168	C_	164	9.12249	11	7.58942	10	0.02127	0.000140045	True
_C10_C2C2gata_27	NA	C10_C2C2gata_27	C_	659	8.4024	30	6.61589	29	0.27585	2.96e-89	True
_C5_AP2EREBP_62-C6_AP2EREBP_228-C9_AP2EREBP_105	NA	C5_AP2EREBP_62-C6_AP2EREBP_228-C9_AP2EREBP_105	C_	663	9.42596	36	8.17801	34	0.24747	3.50374e-84	True
_C2_bZIP_30-C6_bZIP_36	NA	C2_bZIP_30-C6_bZIP_36	C_	618	7.80879	23	6.25038	22	0.28661	1.91579e-89	True
_C2_HSF_1	NA	C2_HSF_1	C_	363	9.95804	29	9.45237	34	0.01282	0.194194	True
_C4_C2C2YABBY_11-C6_C2C2YABBY_11	NA	C4_C2C2YABBY_11-C6_C2C2YABBY_11	C_	237	9.74697	19	8.18389	19	0.01808	0.000820784	True
_C10_C2H2_10-C13_C2H2_4-C4_C2H2_7-C6_C2H2_10	NA	C10_C2H2_10-C13_C2H2_4-C4_C2H2_7-C6_C2H2_10	C_	261	7.34298	9	6.36802	8	0.0117	0.163101	True
_C2_C2C2YABBY_9	NA	C2_C2C2YABBY_9	C_	524	9.33981	33	7.47842	32	0.26799	1.12165e-81	True
_C10_MYB_9-C5_MYB_5-C6_MYB_12-C9_MYB_5	NA	C10_MYB_9-C5_MYB_5-C6_MYB_12-C9_MYB_5	C_	649	10.18178	45	8.12755	42	0.24153	5.12924e-82	True
_C3_AP2EREBP_175	NA	C3_AP2EREBP_175	C_	164	9.16542	11	7.60334	10	0.02378	3.77836e-05	True
_C1_MYBrelated_10-C2_MYBrelated_7-C6_MYBrelated_12-C9_MYBrelated_8	NA	C1_MYBrelated_10-C2_MYBrelated_7-C6_MYBrelated_12-C9_MYBrelated_8	C_	103	7.99246	5	5.97734	4	0.31439	1.38475e-51	True
_C1_AP2EREBP_10-C10_AP2EREBP_30-C13_AP2EREBP_11-C2_AP2EREBP_29-C3_AP2EREBP_30-C4_AP2EREBP_26-C5_AP2EREBP_8-C6_AP2EREBP_33	NA	C1_AP2EREBP_10-C10_AP2EREBP_30-C13_AP2EREBP_11-C2_AP2EREBP_29-C3_AP2EREBP_30-C4_AP2EREBP_26-C5_AP2EREBP_8-C6_AP2EREBP_33	C_	154	8.11435	8	6.80664	6	0.02569	0.00251716	True
_C3_AP2EREBP_20	NA	C3_AP2EREBP_20	C_	166	9.81628	14	8.48468	13	-0.05319	1.26899e-09	True
_C2_RWPRK_13	NA	C2_RWPRK_13	C_	633	10.46581	47	8.51164	42	0.23723	1.25745e-81	True
_C3_AP2EREBP_173	NA	C3_AP2EREBP_173	C_	352	14.91312	45	11.93467	41	0.32208	2.31021e-78	True
_C1_MYB_6	NA	C1_MYB_6	C_	87	14.7928	13	11.69436	11	-0.04027	0.00803363	True
_C10_C2H2_50	NA	C10_C2H2_50	C_	118	16.79257	16	13.22643	14	6e-04	0.870144	True
_C4_MYB_17	NA	C4_MYB_17	C_	664	9.7722	42	7.61275	37	0.26666	1.31602e-85	True
_C2_SBP_10	NA	C2_SBP_10	C_	771	7.65898	37	6.08336	34	0.2636	1.55345e-88	True
_C1_MYB_5-C10_MYB_33-C2_MYB_37-C4_MYB_31-C6_MYB_39	NA	C1_MYB_5-C10_MYB_33-C2_MYB_37-C4_MYB_31-C6_MYB_39	C_	176	9.14549	11	6.78315	11	0.38436	2.51164e-79	True
_C6_G2like_13	NA	C6_G2like_13	C_	573	7.54159	23	5.68812	22	0.29543	3.87388e-89	True
_C10_C2C2dof_4-C3_C2C2dof_1-C4_C2C2dof_4	NA	C10_C2C2dof_4-C3_C2C2dof_1-C4_C2C2dof_4	C_	759	8.06014	31	6.06083	29	0.27694	5.03355e-97	True
_C6_ABI3VP1_17	NA	C6_ABI3VP1_17	C_	181	14.57135	16	11.61705	15	0.3839	4.23021e-75	True
_C4_BZR_13	NA	C4_BZR_13	C_	570	7.16573	16	5.29333	16	0.25492	7.04691e-82	True
_C2_MYB_17-C6_MYB_18	NA	C2_MYB_17-C6_MYB_18	C_	118	12.94531	12	9.12476	9	0.3685	8.72927e-63	True
_C1_AP2EREBP_24-C2_AP2EREBP_82	NA	C1_AP2EREBP_24-C2_AP2EREBP_82	C_	134	14.46156	20	13.28875	19	0.33792	6.43639e-65	True
_C4_ABI3VP1_4	NA	C4_ABI3VP1_4	C_	235	10.59957	20	9.41883	17	0.0222	0.00297047	True
_C6_ABI3VP1_18	NA	C6_ABI3VP1_18	C_	181	10.382	14	8.97408	13	0.01872	0.00018069	True
