output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C10_C2C2YABBY_25-C13_C2C2YABBY_8-C2_C2C2YABBY_28-C3_C2C2YABBY_15-C4_C2C2YABBY_19-C5_C2C2YABBY_32-C6_C2C2YABBY_27-C9_C2C2YABBY_20	NA	C10_C2C2YABBY_25-C13_C2C2YABBY_8-C2_C2C2YABBY_28-C3_C2C2YABBY_15-C4_C2C2YABBY_19-C5_C2C2YABBY_32-C6_C2C2YABBY_27-C9_C2C2YABBY_20	C_	809	7.22823	492	7.48115	536	-0.15097	6.33888e-64	True
_C4_C2C2gata_7-C5_C2C2gata_6-C6_C2C2gata_4-C9_C2C2gata_4	NA	C4_C2C2gata_7-C5_C2C2gata_6-C6_C2C2gata_4-C9_C2C2gata_4	C_	819	5.19037	432	5.83524	491	-0.12761	2.85788e-61	True
_C4_G2like_4-C5_G2like_4	NA	C4_G2like_4-C5_G2like_4	C_	688	5.85876	352	6.43887	421	-0.16644	1.2992e-67	True
_C6_ABI3VP1_5-C9_ABI3VP1_1	NA	C6_ABI3VP1_5-C9_ABI3VP1_1	C_	416	6.34432	249	5.42785	221	0.1745	3.89429e-56	True
_C1_Trihelix_1-C10_Trihelix_1-C2_Trihelix_1-C3_Trihelix_1-C4_Trihelix_1-C5_Trihelix_1-C6_Trihelix_1-C9_Trihelix_1	NA	C1_Trihelix_1-C10_Trihelix_1-C2_Trihelix_1-C3_Trihelix_1-C4_Trihelix_1-C5_Trihelix_1-C6_Trihelix_1-C9_Trihelix_1	C_	514	7.58512	327	8.15046	349	-0.16404	2.0771e-63	True
_C10_TCP_57-C2_TCP_45-C3_TCP_49-C5_TCP_65-C6_TCP_70-C9_TCP_30	NA	C10_TCP_57-C2_TCP_45-C3_TCP_49-C5_TCP_65-C6_TCP_70-C9_TCP_30	C_	476	6.99937	298	8.02501	327	-0.21548	1.53044e-72	True
_C10_bZIP_58-C11_bZIP_6-C2_bZIP_59-C3_bZIP_52-C4_bZIP_47-C5_bZIP_63-C6_bZIP_68	NA	C10_bZIP_58-C11_bZIP_6-C2_bZIP_59-C3_bZIP_52-C4_bZIP_47-C5_bZIP_63-C6_bZIP_68	C_	422	7.26781	263	7.87715	280	-0.19775	1.02291e-64	True
_C3_Trihelix_23-C4_Trihelix_24-C5_Trihelix_25-C6_Trihelix_34	NA	C3_Trihelix_23-C4_Trihelix_24-C5_Trihelix_25-C6_Trihelix_34	C_	441	7.13481	254	7.31274	286	-0.19055	1.08942e-69	True
_C10_bZIP_6-C13_bZIP_1-C2_bZIP_6-C3_bZIP_8-C4_bZIP_4-C5_bZIP_4-C6_bZIP_6-C9_bZIP_6	NA	C10_bZIP_6-C13_bZIP_1-C2_bZIP_6-C3_bZIP_8-C4_bZIP_4-C5_bZIP_4-C6_bZIP_6-C9_bZIP_6	C_	721	7.90425	423	8.14815	476	-0.19841	5.48866e-76	True
_C5_bZIP_13-C6_bZIP_14	NA	C5_bZIP_13-C6_bZIP_14	C_	635	7.16113	401	6.58513	352	0.15993	1.45501e-58	True
_C4_NAC_8	NA	C4_NAC_8	C_	702	9.12172	436	7.72892	395	0.15032	5.03694e-58	True
_C1_C2H2_1-C10_C2H2_2-C2_C2H2_4-C3_C2H2_1-C5_C2H2_3	NA	C1_C2H2_1-C10_C2H2_2-C2_C2H2_4-C3_C2H2_1-C5_C2H2_3	C_	1238	8.40762	789	9.45519	831	-0.20001	4.14779e-85	True
_C10_Trihelix_5-C2_Trihelix_4-C3_Trihelix_6-C4_Trihelix_4-C5_Trihelix_4-C6_Trihelix_5-C9_Trihelix_4	NA	C10_Trihelix_5-C2_Trihelix_4-C3_Trihelix_6-C4_Trihelix_4-C5_Trihelix_4-C6_Trihelix_5-C9_Trihelix_4	C_	593	7.25682	354	8.25232	386	-0.1902	3.20725e-66	True
_C4_SRS_1	NA	C4_SRS_1	C_	316	6.66935	218	6.03143	199	0.15426	4.32641e-49	True
_C3_bHLH_10-C4_bHLH_7	NA	C3_bHLH_10-C4_bHLH_7	C_	190	5.67205	108	6.47281	122	-0.23394	2.02087e-56	True
_C6_DBP_7	NA	C6_DBP_7	C_	416	9.26992	299	7.53208	202	0.36651	2.06258e-87	True
_C6_DBP_5	NA	C6_DBP_5	C_	134	14.49214	100	11.66442	69	0.30052	3.7949e-60	True
_C6_DBP_8	NA	C6_DBP_8	C_	665	8.3906	454	7.12675	365	0.23881	2.76978e-79	True
_C4_WRKY_4-C5_WRKY_9	NA	C4_WRKY_4-C5_WRKY_9	C_	528	6.87962	333	6.10285	296	0.18604	6.95437e-68	True
_C3_GRF_1	NA	C3_GRF_1	C_	35	9.00893	23	10.40798	25	-0.28078	1.41541e-31	True
_C3_AP2EREBP_183	NA	C3_AP2EREBP_183	C_	84	5.93395	58	7.90075	64	-0.36558	8.51855e-52	True
_C5_AP2EREBP_67	NA	C5_AP2EREBP_67	C_	137	12.12344	91	12.56996	99	-0.26378	8.84456e-50	True
_C2_C3H_3	NA	C2_C3H_3	C_	42	5.93893	24	5.22584	19	0.26027	3.43218e-26	True
_C4_ND_7	NA	C4_ND_7	C_	174	5.80092	101	5.46824	81	0.1807	6.12845e-37	True
_C2_LOBAS2_27-C3_LOBAS2_12	NA	C2_LOBAS2_27-C3_LOBAS2_12	C_7-C3_LOBAS2_12	537	9.85392	299	9.28964	337	-0.19827	2.04857e-68	True
