TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C2_ND_11	C3_AP2EREBP_98	1	15	6	0.10540925533894598	-0.0960584212856148
C2_MYB_45-C4_MYB_22	C2_NAC_10	1	9	11	0.10050378152592121	-0.351257126512934
C2_NAC_10	C2_NAC_10	1	11	11	0.09090909090909091	-0.03125000000000003
C1_bHLH_19-C4_bHLH_15	C2_MYB_45-C4_MYB_22	1	14	9	0.0890870806374748	-0.5421545145856614
C1_bHLH_19-C4_bHLH_15	C4_C2C2dof_20	1	14	9	0.0890870806374748	-0.32817106502412396
C2_ND_11	C4_C2C2dof_20	1	15	9	0.08606629658238704	-0.3220433589155054
C1_bHLH_19-C4_bHLH_15	C2_NAC_10	1	14	11	0.08058229640253803	-0.764429466086335
C2_HSF_2	C2_NAC_10	1	14	11	0.08058229640253803	-0.6282627372150161
C1_bHLH_19-C4_bHLH_15	C2_ND_11	1	14	15	0.06900655593423542	-0.9791083295425221
C1_bHLH_19-C4_bHLH_15	C2_HSF_4	1	14	19	0.06131393394849658	-0.9517086177605507
