output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	NA	C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	C_	270	11.72426	17	9.61195	17	0.2647	1.98995e-65	True
_C2_MYB_39-C3_MYB_20-C6_MYB_41-C9_MYB_15	NA	C2_MYB_39-C3_MYB_20-C6_MYB_41-C9_MYB_15	C_	316	10.86374	21	8.97184	17	0.26518	1.30561e-71	True
_C4_CAMTA_9	NA	C4_CAMTA_9	C_	612	10.23575	35	8.72111	34	0.19547	9.22079e-72	True
_C2_BZR_14	NA	C2_BZR_14	C_	583	9.57673	34	7.77943	32	0.25272	2.09296e-79	True
_C6_BZR_7	NA	C6_BZR_7	C_	189	12.70632	17	10.39998	16	0.28056	8.99105e-60	True
_C1_FAR1_2	NA	C1_FAR1_2	C_	87	13.86814	12	11.62761	12	-0.17621	3.69078e-26	True
_C3_bHLH_19-C6_bHLH_33	NA	C3_bHLH_19-C6_bHLH_33	C_	160	10.65001	18	8.94549	16	0.2722	7.49362e-59	True
_C4_CAMTA_1-C6_CAMTA_1	NA	C4_CAMTA_1-C6_CAMTA_1	C_	176	12.32339	16	10.83881	16	0.28128	1.15592e-66	True
_C10_MYB_1-C13_MYB_1-C2_MYB_3-C3_MYB_1-C6_MYB_2-C9_MYB_1	NA	C10_MYB_1-C13_MYB_1-C2_MYB_3-C3_MYB_1-C6_MYB_2-C9_MYB_1	C_	143	9.0435	10	7.72307	10	0.28847	5.48398e-55	True
_C3_MYB_19	NA	C3_MYB_19	C_	299	10.57638	17	8.64484	15	0.27974	2.98203e-73	True
_C10_bHLH_4-C2_bHLH_6-C3_bHLH_4-C6_bHLH_6	NA	C10_bHLH_4-C2_bHLH_6-C3_bHLH_4-C6_bHLH_6	C_	171	6.85607	3	5.37016	4	0.27124	6.93911e-59	True
_C10_SBP_3	NA	C10_SBP_3	C_	179	9.38063	15	9.06136	14	-0.12994	1.58242e-31	True
_C10_ABI3VP1_5-C2_ABI3VP1_5-C3_ABI3VP1_1-C4_ABI3VP1_3-C6_ABI3VP1_9	NA	C10_ABI3VP1_5-C2_ABI3VP1_5-C3_ABI3VP1_1-C4_ABI3VP1_3-C6_ABI3VP1_9	C_	175	9.73939	11	9.31248	13	-0.08744	3.70776e-18	True
_C10_NAC_12	NA	C10_NAC_12	C_	287	8.5341	14	7.8879	12	-0.06687	5.7726e-18	True
_C6_NAC_4	NA	C6_NAC_4	C_	224	12.37039	20	10.28928	18	0.30603	7.09158e-69	True
_C10_bZIP_3-C2_bZIP_3-C3_bZIP_3-C6_bZIP_3-C9_bZIP_3	NA	C10_bZIP_3-C2_bZIP_3-C3_bZIP_3-C6_bZIP_3-C9_bZIP_3	C_	215	5.8295	6	5.41326	6	-0.10461	1.5034e-27	True
_C6_NAC_5	NA	C6_NAC_5	C_	695	8.76914	38	7.30725	35	0.18271	9.52916e-71	True
_C9_WRKY_7	NA	C9_WRKY_7	C_	914	8.17519	48	7.02329	49	0.20372	7.70931e-81	True
_C6_LOBAS2_4	NA	C6_LOBAS2_4	C_2	235	9.38144	17	8.25466	17	-0.0651	2.67623e-15	True
_C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	NA	C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C_	313	10.57865	18	8.95754	18	0.24916	6.39168e-72	True
_C4_C2C2YABBY_5	NA	C4_C2C2YABBY_5	C_	892	9.75509	52	8.51502	52	0.14343	3.6843e-70	True
_C10_AP2EREBP_82-C6_AP2EREBP_96	NA	C10_AP2EREBP_82-C6_AP2EREBP_96	C_	479	9.20551	27	7.49582	24	0.25064	6.93383e-78	True
_C4_AP2EREBP_144	NA	C4_AP2EREBP_144	C_	858	9.75793	49	8.38136	51	0.18628	1.33905e-74	True
_C2_C2H2_20	NA	C2_C2H2_20	C_	302	6.42358	7	4.7315	6	0.37481	3.72991e-83	True
_C2_BBRBPC_18	NA	C2_BBRBPC_18	C_	591	8.5943	30	6.9227	26	0.25112	1.87014e-73	True
_C10_GRF_4	NA	C10_GRF_4	C_	897	7.30831	36	5.99468	34	0.15714	2.27244e-72	True
_C10_MYB_14-C5_MYB_9	NA	C10_MYB_14-C5_MYB_9	C_	752	8.29494	33	6.82145	32	0.18179	7.1218e-70	True
_C4_NAC_20	NA	C4_NAC_20	C_	95	7.38516	5	5.78986	4	0.30826	5.74296e-50	True
_C3_bHLH_34	NA	C3_bHLH_34	C_	286	9.89539	17	8.65874	16	-0.03411	2.44301e-09	True
_C4_MADS_4	NA	C4_MADS_4	C_	867	9.80547	66	8.325	65	0.17017	3.78457e-77	True
_C2_Orphan_1	NA	C2_Orphan_1	C_	1014	13.28272	103	12.15803	99	0.15339	6.15448e-70	True
_C5_NAC_5	NA	C5_NAC_5	C_	1004	11.15261	72	9.61272	69	0.15159	3.27949e-73	True
_C5_C2H2_22	NA	C5_C2H2_22	C_	789	8.50555	33	6.95258	30	0.20494	1.47447e-85	True
_C1_MYB_3-C10_MYB_24-C2_MYB_23-C3_MYB_13-C4_MYB_26-C5_MYB_13-C6_MYB_31-C9_MYB_13	NA	C1_MYB_3-C10_MYB_24-C2_MYB_23-C3_MYB_13-C4_MYB_26-C5_MYB_13-C6_MYB_31-C9_MYB_13	C_	201	8.78465	14	7.49561	12	0.31246	9.77534e-69	True
_C10_BBRBPC_5-C4_BBRBPC_6	NA	C10_BBRBPC_5-C4_BBRBPC_6	C_	517	7.95702	26	6.46904	22	0.2362	3.25351e-73	True
_C10_bZIP_44-C2_bZIP_46	NA	C10_bZIP_44-C2_bZIP_46	C_	751	9.80887	45	7.99921	39	0.19418	6.21446e-75	True
_C6_C2H2_61	NA	C6_C2H2_61	C_	605	10.54543	41	8.79189	42	0.27383	4.76498e-89	True
_C4_C2H2_49	NA	C4_C2H2_49	C_	1078	11.17496	76	9.93395	70	0.16495	9.64103e-79	True
_C4_LOBAS2_19	NA	C4_LOBAS2_19	C_	486	9.04431	28	7.46468	26	0.19573	3.63817e-70	True
_C2_bHLH_29-C5_bHLH_4	NA	C2_bHLH_29-C5_bHLH_4	C_	271	8.59516	13	7.09845	13	0.2744	1.09301e-65	True
_C6_NAC_48	NA	C6_NAC_48	C_6	377	8.07715	18	7.47368	17	-0.03964	1.92847e-13	True
_C10_NLP_6-C3_NLP_6	NA	C10_NLP_6-C3_NLP_6	C_	267	7.54569	14	7.25265	15	-0.07489	2.09368e-26	True
_C1_NLP_2-C10_NLP_7-C2_NLP_6-C3_NLP_8-C4_NLP_6	NA	C1_NLP_2-C10_NLP_7-C2_NLP_6-C3_NLP_8-C4_NLP_6	C_	347	8.74166	15	7.16809	13	0.28488	5.80289e-82	True
_C3_bZIP_24-C4_bZIP_26	NA	C3_bZIP_24-C4_bZIP_26	C_	517	8.254	25	6.64745	23	0.22829	7.99536e-72	True
_C2_AP2EREBP_95	NA	C2_AP2EREBP_95	C_	306	9.49942	19	8.18457	20	-0.03309	4.06255e-07	True
_C2_C2C2YABBY_16	NA	C2_C2C2YABBY_16	C_	261	17.16735	39	15.89282	38	-0.05235	2.74536e-12	True
_C2_AP2EREBP_146-C3_AP2EREBP_130	NA	C2_AP2EREBP_146-C3_AP2EREBP_130	C_4	128	16.67981	19	13.82816	17	-0.0434	5.11406e-05	True
_C10_BBRBPC_19-C2_BBRBPC_17-C3_BBRBPC_13-C4_BBRBPC_18-C6_BBRBPC_18	NA	C10_BBRBPC_19-C2_BBRBPC_17-C3_BBRBPC_13-C4_BBRBPC_18-C6_BBRBPC_18	C_	320	8.73333	14	7.02234	13	0.28422	7.19755e-75	True
_C1_E2FDP_8-C10_E2FDP_12-C2_E2FDP_16-C3_E2FDP_15-C5_E2FDP_5-C6_E2FDP_18	NA	C1_E2FDP_8-C10_E2FDP_12-C2_E2FDP_16-C3_E2FDP_15-C5_E2FDP_5-C6_E2FDP_18	C_	132	13.92385	18	12.27927	17	-0.1128	1.36779e-22	True
_C2_E2FDP_9	NA	C2_E2FDP_9	C_	208	11.37383	21	10.12253	20	-0.10255	4.24402e-30	True
_C1_CAMTA_1-C10_CAMTA_1-C2_CAMTA_1-C3_CAMTA_2-C6_CAMTA_2-C7_CAMTA_1	NA	C1_CAMTA_1-C10_CAMTA_1-C2_CAMTA_1-C3_CAMTA_2-C6_CAMTA_2-C7_CAMTA_1	C_	118	11.0245	9	8.90197	9	0.37466	1.84121e-63	True
_C10_CAMTA_8-C2_CAMTA_9	NA	C10_CAMTA_8-C2_CAMTA_9	C_	222	12.09631	20	9.38114	16	0.36611	4.67757e-73	True
_C3_CAMTA_7	NA	C3_CAMTA_7	C_	48	20.33485	8	17.37514	8	0.34341	1.8267e-42	True
_C3_AP2EREBP_168	NA	C3_AP2EREBP_168	C_	164	9.79589	10	8.86547	10	-0.09066	1.53703e-20	True
_C2_FHA_1-C3_FHA_1-C4_FHA_1-C6_FHA_1-C9_FHA_1	NA	C2_FHA_1-C3_FHA_1-C4_FHA_1-C6_FHA_1-C9_FHA_1	C_	170	10.15234	11	8.60105	11	0.28342	1.87211e-65	True
_C10_C2C2gata_27	NA	C10_C2C2gata_27	C_	659	8.01729	27	6.60475	27	0.17599	1.00013e-70	True
_C5_AP2EREBP_62-C6_AP2EREBP_228-C9_AP2EREBP_105	NA	C5_AP2EREBP_62-C6_AP2EREBP_228-C9_AP2EREBP_105	C_	663	9.58074	31	8.17643	31	0.18966	5.21479e-73	True
_C2_bZIP_30-C6_bZIP_36	NA	C2_bZIP_30-C6_bZIP_36	C_	618	7.72949	22	6.52098	20	0.20356	2.31206e-75	True
_C4_G2like_18	NA	C4_G2like_18	C_8	589	8.33535	21	6.54342	21	0.19811	1.89143e-71	True
_C3_AP2EREBP_175	NA	C3_AP2EREBP_175	C_	164	9.84406	10	8.87132	10	-0.09009	2.28417e-20	True
_C1_MYB_6	NA	C1_MYB_6	C_	87	13.84782	12	11.62749	12	-0.18552	8.94175e-28	True
_C10_MYBrelated_4-C6_MYBrelated_5	NA	C10_MYBrelated_4-C6_MYBrelated_5	C_	210	7.51825	11	5.94196	8	0.3206	8.80981e-65	True
_C3_AP2EREBP_66	NA	C3_AP2EREBP_66	C_	333	9.06202	17	7.76816	16	-0.04577	3.20387e-13	True
_C2_SBP_15-C4_SBP_13-C6_SBP_18	NA	C2_SBP_15-C4_SBP_13-C6_SBP_18	C_	205	8.98593	13	7.49959	13	0.27872	2.16375e-66	True
_C2_SBP_10	NA	C2_SBP_10	C_	771	7.55133	34	6.28828	33	0.19902	1.81219e-76	True
_C9_NAC_30	NA	C9_NAC_30	C_0	765	8.79702	38	7.65146	37	0.20399	8.66145e-75	True
_C2_bHLH_15	NA	C2_bHLH_15	C_	259	8.20742	11	6.67985	11	0.26077	2.60504e-73	True
_C10_C2C2dof_4-C3_C2C2dof_1-C4_C2C2dof_4	NA	C10_C2C2dof_4-C3_C2C2dof_1-C4_C2C2dof_4	C_	759	7.65893	31	6.21668	28	0.17568	2.59698e-78	True
_C2_TCP_63	NA	C2_TCP_63	C_	271	11.38937	22	9.53654	19	0.2647	3.38675e-64	True
_C4_C2H2_38	NA	C4_C2H2_38	C_	305	6.55859	7	5.46163	8	0.26531	9.73309e-70	True
_C4_BZR_13	NA	C4_BZR_13	C_	570	6.77602	14	5.2302	14	0.25003	4.61738e-81	True
_C6_LOBAS2_23	NA	C6_LOBAS2_23	C_	217	11.7663	17	10.24902	15	0.32076	8.02871e-74	True
_C4_AP2EREBP_87	NA	C4_AP2EREBP_87	C_	760	7.84674	37	6.7573	33	0.15443	5.01752e-71	True
_C6_C2C2gata_20	NA	C6_C2C2gata_20	C_	1016	8.59696	57	7.66614	59	0.15764	2.05303e-77	True
_C10_Trihelix_10	NA	C10_Trihelix_10	C_	216	8.37602	14	7.24035	15	-0.03275	0.000109477	True
_C9_WRKY_3	NA	C9_WRKY_3	C_	690	8.77127	38	7.41259	36	0.19891	4.15382e-75	True
_C10_C2C2COlike_2-C2_C2C2COlike_4-C4_C2C2COlike_2-C5_C2C2COlike_1-C6_C2C2COlike_5-C9_C2C2COlike_1	NA	C10_C2C2COlike_2-C2_C2C2COlike_4-C4_C2C2COlike_2-C5_C2C2COlike_1-C6_C2C2COlike_5-C9_C2C2COlike_1	C_	274	11.75972	20	9.67521	21	0.27601	4.17376e-73	True
_C2_AP2EREBP_115	NA	C2_AP2EREBP_115	C_	511	8.65116	27	7.24437	25	0.22211	1.03185e-72	True
_C2_BZR_13	NA	C2_BZR_13	C_	298	7.30726	11	5.79573	9	0.26292	1.36606e-71	True
_C6_LOBAS2_6-C9_LOBAS2_7	NA	C6_LOBAS2_6-C9_LOBAS2_7	C_	145	8.97353	10	7.21025	10	0.39182	5.93701e-73	True
_C6_E2FDP_8	NA	C6_E2FDP_8	C_	189	10.4761	18	9.78814	18	-0.04673	3.72176e-12	True
_C10_HB_2	NA	C10_HB_2	C_	225	9.39884	16	8.99058	17	-0.13128	7.85038e-38	True
_C2_E2FDP_8	NA	C2_E2FDP_8	C_	380	9.0932	28	8.31191	26	-0.07399	2.61983e-23	True
_C2_WRKY_2-C6_WRKY_1-C7_WRKY_1-C9_WRKY_2	NA	C2_WRKY_2-C6_WRKY_1-C7_WRKY_1-C9_WRKY_2	C_	292	7.52496	11	6.05246	9	0.27017	5.24031e-66	True
