source,target,HS_CK_log2fc
MpVg00470,Mp7g04270,1.56516
MpVg00470,Mp7g06240,0.58013
MpVg00470,Mp7g06240,1.01167
MpVg00470,Mp7g06480,0.38825
MpVg00470,Mp7g06480,0.2671
MpVg00470,Mp7g06480,0.98476
MpVg00470,Mp7g06900,0.56895
MpVg00470,Mp7g06940,0.5977
MpVg00470,Mp7g07870,1.82845
MpVg00470,Mp7g07870,0.413
MpVg00470,Mp7g07880,1.28158
MpVg00470,Mp7g07880,0.62028
MpVg00470,Mp7g07890,1.03435
MpVg00470,Mp7g07890,0.8645
MpVg00470,Mp7g07900,0.84698
MpVg00470,Mp7g07900,0.60556
MpVg00470,Mp7g07910,1.17347
MpVg00470,Mp7g08250,0.72085
MpVg00470,Mp7g08390,1.29665
MpVg00470,Mp7g08810,1.83904
MpVg00470,Mp8g08690,0.16912
MpVg00470,Mp8g09030,0.14898
MpVg00470,Mp8g12135a,0.45702
MpVg00470,Mp8g01480,0.43014
MpVg00470,Mp8g14870,2.07648
MpVg00470,Mp8g15170,0.07045
MpVg00470,Mp8g15920,2.65081
MpVg00470,Mp8g16190,1.3327
MpVg00470,Mp8g16300,1.82101
MpVg00470,Mp8g16300,3.21121
MpVg00470,Mp8g16390,0.52295
MpVg00470,Mp8g01760,1.11431
MpVg00470,Mp8g17740,0.00979
MpVg00470,Mp8g18590,0.0091
MpVg00470,Mp8g18720,1.35282
MpVg00470,Mp8g02360,0.46105
MpVg00470,Mp8g02980,0.89689
MpVg00470,Mp8g03010,1.09224
MpVg00470,Mp8g03340,1.8198
MpVg00470,Mp8g03590,0.03205
MpVg00470,Mp8g05080,0.33397
MpVg00470,Mp8g05080,0.72091
MpVg00470,Mp8g06380,1.60393
MpVg00470,Mp8g06470,2.72524
MpVg00470,Mp8g06470,1.31182
MpVg00470,Mp8g06740,1.68236
MpVg00470,Mp8g07330,2.43584
MpVg00470,Mp8g07330,1.21012
MpVg00470,MpVg00240,0.54247
MpVg00470,MpVg00460,0.18262
