"interaction","MI","name","pvalue","selected","shared.interaction","source","target","weight","source_TF","target_TF","presence"
"interacts with",1.02689170643386,"Mp8g08100 (interacts with) Mp2g10650",0.0491152351220638,"false","interacts with","Mp8g08100","Mp2g10650",0.046140988804302,"Trihelix",NA,""
"interacts with",0.91440289496835,"Mpzg01410 (interacts with) Mp5g12960",0.000519722400126321,"false","interacts with","Mpzg01410","Mp5g12960",0.0451459215411967,"bHLH",NA,""
"interacts with",0.942914088137557,"Mp8g08100 (interacts with) Mp2g07900",4.77781991630177e-05,"false","interacts with","Mp8g08100","Mp2g07900",0.0455891527973942,"Trihelix",NA,""
"interacts with",1.06713850231055,"Mpzg01410 (interacts with) Mp4g21790",0,"false","interacts with","Mpzg01410","Mp4g21790",0.044599416722206,"bHLH","MYB",""
"interacts with",0.98931994552178,"Mp8g08100 (interacts with) Mp4g20210",0.000519722400126321,"false","interacts with","Mp8g08100","Mp4g20210",0.0451564073535386,"Trihelix",NA,""
"interacts with",0.945343622168477,"Mpzg01410 (interacts with) Mp7g01270",4.77781991630177e-05,"false","interacts with","Mpzg01410","Mp7g01270",0.0428860348233662,"bHLH",NA,""
"interacts with",0.995257091842213,"Mp8g08100 (interacts with) Mp3g23970",2.50863130268897e-08,"false","interacts with","Mp8g08100","Mp3g23970",0.0450210943863396,"Trihelix",NA,""
"interacts with",1.11655513011823,"Mpzg01410 (interacts with) Mp6g09650",4.10292818320279e-06,"false","interacts with","Mpzg01410","Mp6g09650",0.0426208363171175,"bHLH",NA,""
"interacts with",0.990766423454648,"Mp8g08100 (interacts with) Mp1g23260",4.10292818320279e-06,"false","interacts with","Mp8g08100","Mp1g23260",0.0448682327473699,"Trihelix",NA,""
"interacts with",0.867051578091256,"Mpzg01410 (interacts with) Mp6g08260",4.77781991630177e-05,"false","interacts with","Mpzg01410","Mp6g08260",0.0422570852204672,"bHLH",NA,""
"interacts with",0.99912452373651,"Mp8g08100 (interacts with) Mp5g19920",3.30563580508425e-07,"false","interacts with","Mp8g08100","Mp5g19920",0.0448235276420866,"Trihelix",NA,"source"
"interacts with",1.08770610375448,"Mpzg01410 (interacts with) Mp3g20450",0,"false","interacts with","Mpzg01410","Mp3g20450",0.0421576337854969,"bHLH",NA,""
"interacts with",1.02605208571553,"Mp8g08100 (interacts with) Mp8g05200",0.00525516972422113,"false","interacts with","Mp8g08100","Mp8g05200",0.0430668441705912,"Trihelix",NA,""
"interacts with",1.0715719439921,"Mpzg01410 (interacts with) Mp2g17420",0,"false","interacts with","Mpzg01410","Mp2g17420",0.0421193402416134,"bHLH",NA,""
"interacts with",1.02983107163527,"Mp8g08100 (interacts with) Mp7g19240",4.10292818320279e-06,"false","interacts with","Mp8g08100","Mp7g19240",0.04213127071336,"Trihelix",NA,""
"interacts with",0.918797297892717,"Mpzg01410 (interacts with) Mp2g04050",0.0491152351220638,"false","interacts with","Mpzg01410","Mp2g04050",0.0419209941047073,"bHLH",NA,""
"interacts with",1.00629506030528,"Mp8g08100 (interacts with) Mp5g11830",1.2337530996831e-10,"false","interacts with","Mp8g08100","Mp5g11830",0.0411037777443327,"Trihelix","MYB",""
"interacts with",0.987131000322353,"Mpzg01410 (interacts with) Mp6g14720",0.00525516972422113,"false","interacts with","Mpzg01410","Mp6g14720",0.0418997715404199,"bHLH",NA,""
"interacts with",1.03846849405141,"Mp8g08100 (interacts with) Mp6g02550",0.00525516972422113,"false","interacts with","Mp8g08100","Mp6g02550",0.0404164595936949,"Trihelix",NA,""
"interacts with",1.0380434484342,"Mpzg01410 (interacts with) Mp6g03330",1.2337530996831e-10,"false","interacts with","Mpzg01410","Mp6g03330",0.041771416238615,"bHLH",NA,""
"interacts with",0.939811274621327,"Mp8g08100 (interacts with) Mp4g00180",4.77781991630177e-05,"false","interacts with","Mp8g08100","Mp4g00180",0.0399650956721589,"Trihelix","WRKY",""
"interacts with",1.03547329492003,"Mpzg01410 (interacts with) Mp1g06180",0.0491152351220638,"false","interacts with","Mpzg01410","Mp1g06180",0.0416721532436609,"bHLH","Trihelix",""
"interacts with",1.01916915973555,"Mp8g08100 (interacts with) Mp7g09710",0.00525516972422113,"false","interacts with","Mp8g08100","Mp7g09710",0.0395225436989455,"Trihelix","HD",""
"interacts with",1.02268696391843,"Mpzg01410 (interacts with) Mp2g05990",0,"false","interacts with","Mpzg01410","Mp2g05990",0.0414165907346693,"bHLH",NA,""
"interacts with",0.976187350582205,"Mp8g08100 (interacts with) Mp2g12520",4.77781991630177e-05,"false","interacts with","Mp8g08100","Mp2g12520",0.037849185647728,"Trihelix",NA,""
"interacts with",1.11955437666377,"Mpzg01410 (interacts with) Mp4g15430",0,"false","interacts with","Mpzg01410","Mp4g15430",0.0411298463002716,"bHLH",NA,""
