distanceToTSS (log10)	group
-0.769894035812169	hsfb CK
-0.700097704613054	hsfb CK
-0.219060332448861	hsfb CK
0	hsfb CK
0.961800639191678	hsfb CK
1.07733156112899	hsfb CK
1.09506468954864	hsfb CK
1.17166795887479	hsfb CK
0	hsfb CK
-0.830781075606361	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.586699801624049	hsfb CK
-0.00860017176191757	hsfb CK
0.390935107103379	hsfb CK
0.538699379542407	hsfb CK
0.844849800806639	hsfb CK
0.902383684432472	hsfb CK
0.928293412232202	hsfb CK
-0.653694795315082	hsfb CK
0	hsfb CK
0.641275757231913	hsfb CK
0.658011396657112	hsfb CK
0.573103783163991	hsfb CK
0	hsfb CK
0	hsfb CK
0.4888326343824	hsfb CK
0.356599435724971	hsfb CK
-0.186956335465412	hsfb CK
-0.378942698613437	hsfb CK
0.281487887940081	hsfb CK
0	hsfb CK
0	hsfb CK
-0.324076579739486	hsfb CK
-0.400537989391946	hsfb CK
-0.513350798805957	hsfb CK
-0.548266545170745	hsfb CK
-0.630936119064191	hsfb CK
-0.658488381309017	hsfb CK
-0.726645720240912	hsfb CK
0	hsfb CK
0	hsfb CK
-0.591398551281249	hsfb CK
0	hsfb CK
0.780101191467912	hsfb CK
0.0766404436703419	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.822886947834151	hsfb CK
0	hsfb CK
0.766115283221414	hsfb CK
0.706290957258763	hsfb CK
0	hsfb CK
-0.77757180469141	hsfb CK
0	hsfb CK
0	hsfb CK
-0.26030994579492	hsfb CK
0	hsfb CK
0.645324001562293	hsfb CK
0.683137131483007	hsfb CK
0.787602146182337	hsfb CK
-0.764549719064467	hsfb CK
-0.720572720364261	hsfb CK
-0.638888424705076	hsfb CK
0	hsfb CK
0	hsfb CK
-0.224274014294258	hsfb CK
0.334051440346892	hsfb CK
0.11092624226642	hsfb CK
0.882125919770032	hsfb CK
0	hsfb CK
0.0927206446840992	hsfb CK
0	hsfb CK
-0.942603248842157	hsfb CK
-0.980775773962622	hsfb CK
0	hsfb CK
-0.489958479424835	hsfb CK
-0.528531060635411	hsfb CK
-0.570893036218392	hsfb CK
0.742725131304698	hsfb CK
-0.0301947853567512	hsfb CK
0.160468531119037	hsfb CK
-0.0827853703164501	hsfb CK
-0.00689370794790046	hsfb CK
-0.27207378750001	hsfb CK
0	hsfb CK
0.168202746842631	hsfb CK
-0.478710755512759	hsfb CK
0	hsfb CK
-0.69565675993619	hsfb CK
-0.74499667403856	hsfb CK
0.751433081819348	hsfb CK
0	hsfb CK
0	hsfb CK
0.77604707118178	hsfb CK
-0.733438027091061	hsfb CK
0	hsfb CK
0.653887558070978	hsfb CK
0.849726444196328	hsfb CK
0	hsfb CK
0	hsfb CK
-0.111262513659065	hsfb CK
-0.450864692379766	hsfb CK
0	hsfb CK
0	hsfb CK
-0.842359573330675	hsfb CK
0.0648322197385739	hsfb CK
0	hsfb CK
0	hsfb CK
-0.478999131673357	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
1.00086772153123	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-0.284656282788516	hsfb CK
0	hsfb CK
0.713406532167691	hsfb CK
0.800510876894368	hsfb CK
0.831421817065022	hsfb CK
0.852906758796954	hsfb CK
0.545678149792026	hsfb CK
0	hsfb CK
0	hsfb CK
0.498999363580153	hsfb CK
0.326540668516562	hsfb CK
0	hsfb CK
0.431685344686012	hsfb CK
0.229681842317676	hsfb CK
0	hsfb CK
0.378397900948138	hsfb CK
0.534660575828444	hsfb CK
1.20240657263938	hsfb CK
1.08756847616178	hsfb CK
1.04661220906845	hsfb CK
0	hsfb CK
-0.611192060868434	hsfb CK
-0.68930885912362	hsfb CK
0	hsfb CK
-0.0751818546186916	hsfb CK
-0.290034611362518	hsfb CK
0	hsfb CK
1.04151111295932	hsfb CK
1.1115649354545	hsfb CK
-1.14351442007555	hsfb CK
0	hsfb CK
-0.0277572046905535	hsfb CK
0.568436414416885	hsfb CK
0	hsfb CK
0.269979676645324	hsfb CK
0	hsfb CK
0.182984967003582	hsfb CK
-0.0433622780211295	hsfb CK
0.533899100796595	hsfb CK
0.0382226383687185	hsfb CK
0.336859820916809	hsfb CK
0	hsfb CK
0.000867721531226913	hsfb CK
-0.739493230781615	hsfb CK
-0.406540180433955	hsfb CK
-0.341038631677523	hsfb CK
0	hsfb CK
-0.37383114507383	hsfb CK
-0.156549151331781	hsfb CK
0.584444307165176	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-0.0722498976135148	hsfb CK
0	hsfb CK
0.158060793936605	hsfb CK
0.63978521298682	hsfb CK
0.705607163404605	hsfb CK
0.903795142741035	hsfb CK
1.06974207604164	hsfb CK
-1.07228666950989	hsfb CK
0	hsfb CK
0.119255889277937	hsfb CK
0.0449315461491601	hsfb CK
0	hsfb CK
-0.237040791379191	hsfb CK
-0.501606922418829	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-0.51627088272934	hsfb CK
0	hsfb CK
-0.539076098792777	hsfb CK
-0.000434077479318593	hsfb CK
0.421603926869831	hsfb CK
-0.328379603438738	hsfb CK
0	hsfb CK
0.827885982789856	hsfb CK
0	hsfb CK
-0.0370278797557749	hsfb CK
0.40705081480425	hsfb CK
0.635885685281273	hsfb CK
0.77981286317058	hsfb CK
0	hsfb CK
-0.314709692955174	hsfb CK
-0.693902741066061	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.66256896693326	hsfb CK
0	hsfb CK
0	hsfb CK
0.61331316145546	hsfb CK
0.753429841575423	hsfb CK
-1.05823616894277	hsfb CK
-0.947874654897698	hsfb CK
-0.427161402925966	hsfb CK
0	hsfb CK
0	hsfb CK
0.484726804298662	hsfb CK
0	hsfb CK
0	hsfb CK
-0.302763708472982	hsfb CK
-0.542327382773974	hsfb CK
-0.793580867368156	hsfb CK
0.800235789327354	hsfb CK
0.619406410886777	hsfb CK
0.577951127729755	hsfb CK
0.313023110323238	hsfb CK
0	hsfb CK
-0.497758718287268	hsfb CK
-0.550839605065785	hsfb CK
-0.753583058892907	hsfb CK
0.724849087629386	hsfb CK
0	hsfb CK
0	hsfb CK
0.704493697009299	hsfb CK
0.334654766883241	hsfb CK
0.267640982345915	hsfb CK
0	hsfb CK
0	hsfb CK
0.0191162904470728	hsfb CK
-0.0515383905153274	hsfb CK
0.449324093098727	hsfb CK
0	hsfb CK
0	hsfb CK
0.381836799998343	hsfb CK
0.295347148333618	hsfb CK
0	hsfb CK
0.273464272621346	hsfb CK
0.876102321377794	hsfb CK
0	hsfb CK
0.634376494088368	hsfb CK
0	hsfb CK
-0.5928426831311	hsfb CK
0	hsfb CK
-0.614158709509175	hsfb CK
0	hsfb CK
-0.591954555046735	hsfb CK
-0.362482474751175	hsfb CK
0	hsfb CK
-0.85582190540603	hsfb CK
0	hsfb CK
0.688686724284123	hsfb CK
0.942256150419465	hsfb CK
0.715251028878849	hsfb CK
0	hsfb CK
-0.65359838184329	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.687974620034556	hsfb CK
0	hsfb CK
-0.218797998111738	hsfb CK
0	hsfb CK
-0.214048679411941	hsfb CK
-0.68421679513888	hsfb CK
0	hsfb CK
0.342027688087472	hsfb CK
0.76477371691104	hsfb CK
0.793161529245551	hsfb CK
0.898999270889789	hsfb CK
1.48535226124114	hsfb CK
1.04481404752864	hsfb CK
0	hsfb CK
0	hsfb CK
