distanceToTSS (log10)	group
0.390758528738717	hsfa CK
0.252610340567373	hsfa CK
-0.0652061280543119	hsfa CK
-0.167317334748176	hsfa CK
-0.292477593667784	hsfa CK
-0.41077723337721	hsfa CK
-0.488691698316941	hsfa CK
-0.557386882059507	hsfa CK
-0.63978521298682	hsfa CK
-0.698796251790431	hsfa CK
-0.726727209026572	hsfa CK
-1.03702787975578	hsfa CK
-0.0314084642516241	hsfa CK
-0.176091259055681	hsfa CK
-0.244771761495295	hsfa CK
0.623559390005437	hsfa CK
0.00346053210950649	hsfa CK
-0.0429690733931801	hsfa CK
-0.439332693830263	hsfa CK
-0.528788191774896	hsfa CK
-0.424554976606713	hsfa CK
0	hsfa CK
0.154119525515847	hsfa CK
0.34752515999869	hsfa CK
0.458637849025649	hsfa CK
0.534406899137877	hsfa CK
0	hsfa CK
-0.34908316877959	hsfa CK
-0.186956335465412	hsfa CK
0	hsfa CK
0.163161374977018	hsfa CK
1.09496000243667	hsfa CK
0	hsfa CK
0	hsfa CK
0.603144372620182	hsfa CK
0.808885867359812	hsfa CK
0.675961549642169	hsfa CK
0.523746466811564	hsfa CK
-0.161068385471175	hsfa CK
0	hsfa CK
0.704579449696299	hsfa CK
0.885134966063434	hsfa CK
0	hsfa CK
-0.486855355276943	hsfa CK
-0.532881719407397	hsfa CK
-0.911104317804036	hsfa CK
-0.951823035315912	hsfa CK
0	hsfa CK
-0.12515582958053	hsfa CK
-0.304059466217599	hsfa CK
0	hsfa CK
0.499549625905149	hsfa CK
0	hsfa CK
-0.549616239519085	hsfa CK
-0.0762762554042176	hsfa CK
0.425371166438941	hsfa CK
0	hsfa CK
0.152288344383056	hsfa CK
0	hsfa CK
0	hsfa CK
0.817565369559781	hsfa CK
0.732956369575625	hsfa CK
-0.93033763573773	hsfa CK
-0.769894035812169	hsfa CK
-0.700011062322112	hsfa CK
-0.677333151419902	hsfa CK
-0.219060332448861	hsfa CK
0	hsfa CK
0.961326155934711	hsfa CK
1.07338838111518	hsfa CK
1.098851307028	hsfa CK
1.10917342142547	hsfa CK
1.17487352888742	hsfa CK
-0.0191162904470728	hsfa CK
-0.837967018368655	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.550839605065785	hsfa CK
0.850523708878994	hsfa CK
0.93896979722289	hsfa CK
-0.656768779266017	hsfa CK
0	hsfa CK
0.657915936829955	hsfa CK
0	hsfa CK
0	hsfa CK
-0.188647295999717	hsfa CK
-0.379305517750582	hsfa CK
0	hsfa CK
0	hsfa CK
-0.324899497052313	hsfa CK
-0.400192488592576	hsfa CK
-0.513350798805957	hsfa CK
-0.548266545170745	hsfa CK
-0.630936119064191	hsfa CK
-0.658583715407063	hsfa CK
-0.726238046802637	hsfa CK
0	hsfa CK
0	hsfa CK
-0.96852964437484	hsfa CK
-0.599446375725276	hsfa CK
0	hsfa CK
0.780677274433368	hsfa CK
0.082066934285113	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.791480116020001	hsfa CK
0.706632450873295	hsfa CK
0	hsfa CK
-0.787602146182337	hsfa CK
-0.169086357487023	hsfa CK
0	hsfa CK
-0.23375736296551	hsfa CK
0	hsfa CK
-0.261738547352538	hsfa CK
0	hsfa CK
0.791199246498875	hsfa CK
-0.767081621363322	hsfa CK
-0.721315880605899	hsfa CK
-0.641771470653959	hsfa CK
0.0595634179012677	hsfa CK
0	hsfa CK
-0.231469590430681	hsfa CK
-0.423573519732736	hsfa CK
0.302114376956201	hsfa CK
0.108903127667313	hsfa CK
0.932980821923198	hsfa CK
0.904066051914503	hsfa CK
0.854184543833607	hsfa CK
0	hsfa CK
0.155943017971837	hsfa CK
0	hsfa CK
-0.9451730461739	hsfa CK
-0.984257201705416	hsfa CK
0	hsfa CK
-0.4888326343824	hsfa CK
-0.529301997787981	hsfa CK
-0.573335840066068	hsfa CK
0.742882171437273	hsfa CK
0	hsfa CK
0.185542154854375	hsfa CK
-0.0962145853464052	hsfa CK
-0.00475115559100102	hsfa CK
-0.269746373130767	hsfa CK
0	hsfa CK
0.171141151028382	hsfa CK
