geneId	cluster
Mp4g05230	C4
Mp4g08550	C4
Mp5g16330	C4
Mp5g16940	C4
Mp5g18870	C4
Mp5g02230	C4
Mp5g03010	C4
Mp5g04470	C4
Mp5g09160	C4
Mp6g12500	C4
Mp6g14140	C4
Mp6g14350	C4
Mp6g15850	C4
Mp6g18430	C4
Mp6g18770	C4
Mp6g04090	C4
Mp7g09110	C4
Mp7g11040	C4
Mp7g11760	C4
Mp7g12450	C4
Mp7g14400	C4
Mp7g14850	C4
Mp7g15470	C4
Mp7g17910	C4
Mp7g19230	C4
Mp7g01980	C4
Mp7g02500	C4
Mp7g02630	C4
Mp7g04390	C4
Mp7g00570	C4
Mp7g06900	C4
Mp7g07000	C4
Mp7g07640	C4
Mp7g00780	C4
Mp8g00820	C4
Mp8g10370	C4
Mp8g10980	C4
Mp8g16360	C4
Mp8g02680	C4
Mp8g03360	C4
Mp8g05510	C4
Mp8g06000	C4
Mp8g06540	C4
Mp8g06910	C4
Mp1g16810	C5
Mp1g03560	C5
Mp2g10830	C5
Mp2g15010	C5
Mp2g15170	C5
Mp2g15230	C5
Mp2g20750	C5
Mp2g24750	C5
Mp2g02420	C5
Mp2g26740	C5
Mp3g13150	C5
Mp3g14570	C5
Mp3g15780	C5
Mp3g21060	C5
Mp3g22760	C5
Mp3g03750	C5
Mp3g00720	C5
Mp4g10210	C5
Mp4g10480	C5
Mp4g19340	C5
Mp4g19960	C5
Mp4g20060	C5
Mp4g20540	C5
Mp4g02130	C5
Mp4g24135a	C5
Mp4g02620	C5
Mp4g05860	C5
Mp4g05920	C5
Mp4g08540	C5
Mp5g13370	C5
Mp5g20440	C5
Mp5g21170	C5
Mp5g22730	C5
Mp5g23160	C5
Mp5g23380	C5
Mp5g04600	C5
Mp5g00050	C5
Mp5g08010	C5
Mp6g15140	C5
Mp6g17550	C5
Mp6g06080	C5
Mp6g07260	C5
Mp7g11580	C5
Mp7g15610	C5
Mp7g17030	C5
Mp7g18730	C5
Mp7g19340	C5
Mp7g02490	C5
Mp7g02900	C5
Mp7g06330	C5
Mp8g09930	C5
Mp8g10920	C5
Mp8g13240	C5
Mp8g16170	C5
Mp8g02935	C5
MpVg00700	C5
